"FileName","Population","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"lta_rilta_n_1000_tp_-0.41_th_1",0.4,"N = 1000","Mover",607,0.386,0.046,0.045,0.002,0.96,0.992,607,-3.5,2.22,-3.415,4.27789,1,1
"lta_rilta_n_1000_tp_-0.85_th_1",0.3,"N = 1000","Mover",628,0.288,0.044,0.045,0.002,0.954,0.984,628,-4,-2.22,-3.97412,-1.96261,1,1
"lta_rilta_n_1000_tp_-1.385_th_1",0.2,"N = 1000","Mover",621,0.19,0.041,0.041,0.002,0.934,0.953,621,-5,0,-5.0095,0.43771,1,1
"lta_rilta_n_1000_tp_0.41_th_1",0.6,"N = 1000","Stayer",623,0.593,0.041,0.038,0.002,0.97,1,623,-1.17,7.89,-1.15628,8.23646,1,1
"lta_rilta_n_1000_tp_0.85_th_1",0.7,"N = 1000","Stayer",600,0.695,0.037,0.037,0.001,0.952,1,600,-0.71,0,-0.68111,0.11581,1,1
"lta_rilta_n_1000_tp_1.385_th_1",0.8,"N = 1000","Stayer",589,0.796,0.032,0.03,0.001,0.959,1,589,-0.5,6.67,-0.45382,7.30726,1,1
"lta_rilta_n_2000_tp_-0.41_th_1",0.4,"N = 2000","Mover",631,0.394,0.031,0.029,0.001,0.956,1,631,-1.5,6.9,-1.60575,6.27606,1,1
"lta_rilta_n_2000_tp_-0.85_th_1",0.3,"N = 2000","Mover",635,0.293,0.031,0.028,0.001,0.961,0.998,635,-2.33,10.71,-2.30362,10.77776,1,1
"lta_rilta_n_2000_tp_-1.385_th_1",0.2,"N = 2000","Mover",626,0.194,0.028,0.026,0.001,0.954,0.998,626,-3,7.69,-2.7515,7.71538,1,1
"lta_rilta_n_2000_tp_0.41_th_1",0.6,"N = 2000","Stayer",644,0.596,0.028,0.027,0.001,0.969,1,644,-0.67,3.7,-0.63155,4.51457,1,1
"lta_rilta_n_2000_tp_0.85_th_1",0.7,"N = 2000","Stayer",629,0.697,0.025,0.025,0.001,0.948,1,629,-0.43,0,-0.45315,0.44985,1,1
"lta_rilta_n_2000_tp_1.385_th_1",0.8,"N = 2000","Stayer",642,0.798,0.022,0.022,0.001,0.952,1,642,-0.25,0,-0.27719,-1.6771,1,1
"lta_rilta_n_4000_tp_-0.41_th_1",0.4,"N = 4000","Mover",582,0.394,0.022,0.021,0,0.967,1,582,-1.5,4.76,-1.39625,6.95388,1,1
"lta_rilta_n_4000_tp_-0.85_th_1",0.3,"N = 4000","Mover",596,0.295,0.022,0.021,0,0.956,1,596,-1.67,4.76,-1.82275,5.26312,1,1
"lta_rilta_n_4000_tp_-1.385_th_1",0.2,"N = 4000","Mover",677,0.195,0.02,0.019,0,0.965,1,677,-2.5,5.26,-2.394,7.71851,1,1
"lta_rilta_n_4000_tp_0.41_th_1",0.6,"N = 4000","Stayer",614,0.598,0.019,0.019,0,0.958,1,614,-0.33,0,-0.28127,2.28218,1,1
"lta_rilta_n_4000_tp_0.85_th_1",0.7,"N = 4000","Stayer",622,0.699,0.018,0.017,0,0.952,1,622,-0.14,5.88,-0.15678,3.75306,1,1
"lta_rilta_n_4000_tp_1.385_th_1",0.8,"N = 4000","Stayer",628,0.799,0.015,0.015,0,0.96,1,628,-0.13,0,-0.17786,2.31495,1,1
"lta_rilta_n_500_tp_-0.41_th_1",0.4,"N = 500","Mover",616,0.379,0.072,0.07,0.005,0.938,0.964,616,-5.25,2.86,-5.28375,4.07434,1,1
"lta_rilta_n_500_tp_-0.85_th_1",0.3,"N = 500","Mover",616,0.283,0.067,0.066,0.005,0.938,0.93,616,-5.67,1.52,-5.78863,1.81974,1,1
"lta_rilta_n_500_tp_-1.385_th_1",0.2,"N = 500","Mover",622,0.187,0.06,0.056,0.003,0.937,0.856,622,-6.5,7.14,-6.4545,5.64157,1,1
"lta_rilta_n_500_tp_0.41_th_1",0.6,"N = 500","Stayer",623,0.583,0.07,0.067,0.005,0.96,0.976,623,-2.83,4.48,-2.86826,4.53248,1,1
"lta_rilta_n_500_tp_0.85_th_1",0.7,"N = 500","Stayer",629,0.687,0.063,0.075,0.006,0.959,0.987,629,-1.86,-16,-1.90898,-15.2811,1,1
"lta_rilta_n_500_tp_1.385_th_1",0.8,"N = 500","Stayer",594,0.79,0.052,0.069,0.005,0.958,0.997,594,-1.25,-24.64,-1.22518,-21.80688,1,1
