"FileName","Population","TPs","N","N_numeric","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_rilta_n_500_tp_-1.385_th_1_lambda_0",".200",-1.385,"N = 500","500","0",500,423,84.6,351,70.2,26,5.2,477,95.4,23,"Yes",10920
"rilta_rilta_n_500_tp_-0.85_th_1_lambda_0",".300",-0.85,"N = 500","500","0",500,418,83.6,348,69.6,10,2,464,92.8,36,"Yes",6995
"rilta_rilta_n_500_tp_-0.41_th_1_lambda_0",".400",-0.41,"N = 500","500","0",500,424,84.8,369,73.8,2,0.4,472,94.4,28,"Yes",8979
"rilta_rilta_n_500_tp_0.41_th_1_lambda_0",".600",0.41,"N = 500","500","0",500,422,84.4,347,69.4,8,1.6,477,95.4,23,"Yes",10920
"rilta_rilta_n_500_tp_0.85_th_1_lambda_0",".700",0.85,"N = 500","500","0",499,410,82.2,355,71.1,6,1.2,470,94.2,29,"Yes",8671
"rilta_rilta_n_500_tp_1.385_th_1_lambda_0",".800",1.385,"N = 500","500","0",499,402,80.6,365,73.1,14,2.8,470,94.2,29,"Yes",8671
"rilta_rilta_n_500_tp_-1.385_th_1_lambda_1",".200",-1.385,"N = 500","500","1",500,424,84.8,351,70.2,11,2.2,470,94,30,"Yes",8384
"rilta_rilta_n_500_tp_-0.85_th_1_lambda_1",".300",-0.85,"N = 500","500","1",500,421,84.2,335,67,11,2.2,471,94.2,29,"Yes",8671
"rilta_rilta_n_500_tp_-0.41_th_1_lambda_1",".400",-0.41,"N = 500","500","1",500,426,85.2,358,71.6,8,1.6,482,96.4,18,"Yes",13939
"rilta_rilta_n_500_tp_0.41_th_1_lambda_1",".600",0.41,"N = 500","500","1",500,413,82.6,350,70,6,1.2,478,95.6,22,"Yes",11414
"rilta_rilta_n_500_tp_0.85_th_1_lambda_1",".700",0.85,"N = 500","500","1",499,407,81.6,354,70.9,8,1.6,467,93.6,32,"Yes",7863
"rilta_rilta_n_500_tp_1.385_th_1_lambda_1",".800",1.385,"N = 500","500","1",499,425,85.2,338,67.7,6,1.2,478,95.8,21,"Yes",11955
"rilta_rilta_n_500_tp_-1.385_th_1_lambda_1.5",".200",-1.385,"N = 500","500","1.5",500,409,81.8,358,71.6,13,2.6,467,93.4,33,"Yes",7626
"rilta_rilta_n_500_tp_-0.85_th_1_lambda_1.5",".300",-0.85,"N = 500","500","1.5",500,404,80.8,346,69.2,6,1.2,464,92.8,36,"Yes",6995
"rilta_rilta_n_500_tp_-0.41_th_1_lambda_1.5",".400",-0.41,"N = 500","500","1.5",500,420,84,357,71.4,11,2.2,474,94.8,26,"Yes",9666
"rilta_rilta_n_500_tp_0.41_th_1_lambda_1.5",".600",0.41,"N = 500","500","1.5",500,400,80,331,66.2,10,2,460,92,40,"Yes",6301
"rilta_rilta_n_500_tp_0.85_th_1_lambda_1.5",".700",0.85,"N = 500","500","1.5",499,396,79.4,357,71.5,6,1.2,475,95.2,24,"Yes",10467
"rilta_rilta_n_500_tp_1.385_th_1_lambda_1.5",".800",1.385,"N = 500","500","1.5",499,401,80.4,358,71.7,15,3,471,94.4,28,"Yes",8979
"rilta_rilta_n_500_tp_-1.385_th_1_lambda_2",".200",-1.385,"N = 500","500","2",500,423,84.6,350,70,18,3.6,474,94.8,26,"Yes",9666
"rilta_rilta_n_500_tp_-0.85_th_1_lambda_2",".300",-0.85,"N = 500","500","2",500,418,83.6,354,70.8,12,2.4,479,95.8,21,"Yes",11955
"rilta_rilta_n_500_tp_-0.41_th_1_lambda_2",".400",-0.41,"N = 500","500","2",500,407,81.4,347,69.4,8,1.6,462,92.4,38,"Yes",6629
"rilta_rilta_n_500_tp_0.41_th_1_lambda_2",".600",0.41,"N = 500","500","2",500,423,84.6,346,69.2,10,2,478,95.6,22,"Yes",11414
"rilta_rilta_n_500_tp_0.85_th_1_lambda_2",".700",0.85,"N = 500","500","2",499,414,83,349,69.9,10,2,469,94,30,"Yes",8384
"rilta_rilta_n_500_tp_1.385_th_1_lambda_2",".800",1.385,"N = 500","500","2",500,417,83.4,352,70.4,17,3.4,476,95.2,24,"Yes",10467
"rilta_rilta_n_500_tp_-1.385_th_1_lambda_2.5",".200",-1.385,"N = 500","500","2.5",500,417,83.4,336,67.2,19,3.8,463,92.6,37,"Yes",6807
"rilta_rilta_n_500_tp_-0.85_th_1_lambda_2.5",".300",-0.85,"N = 500","500","2.5",500,402,80.4,349,69.8,15,3,471,94.2,29,"Yes",8671
"rilta_rilta_n_500_tp_-0.41_th_1_lambda_2.5",".400",-0.41,"N = 500","500","2.5",500,408,81.6,349,69.8,13,2.6,469,93.8,31,"Yes",8115
"rilta_rilta_n_500_tp_0.41_th_1_lambda_2.5",".600",0.41,"N = 500","500","2.5",500,417,83.4,344,68.8,14,2.8,469,93.8,31,"Yes",8115
"rilta_rilta_n_500_tp_0.85_th_1_lambda_2.5",".700",0.85,"N = 500","500","2.5",499,414,83,352,70.5,9,1.8,466,93.4,33,"Yes",7626
"rilta_rilta_n_500_tp_1.385_th_1_lambda_2.5",".800",1.385,"N = 500","500","2.5",499,409,82,352,70.5,14,2.8,465,93.2,34,"Yes",7403
"rilta_rilta_n_500_tp_-1.385_th_1_lambda_3",".200",-1.385,"N = 500","500","3",500,420,84,355,71,20,4,479,95.8,21,"Yes",11955
"rilta_rilta_n_500_tp_-0.85_th_1_lambda_3",".300",-0.85,"N = 500","500","3",500,409,81.8,346,69.2,17,3.4,465,93,35,"Yes",7193
"rilta_rilta_n_500_tp_-0.41_th_1_lambda_3",".400",-0.41,"N = 500","500","3",500,390,78,338,67.6,29,5.8,454,90.8,46,"Yes",5485
"rilta_rilta_n_500_tp_0.41_th_1_lambda_3",".600",0.41,"N = 500","500","3",500,381,76.2,335,67,18,3.6,460,92,40,"Yes",6301
"rilta_rilta_n_500_tp_0.85_th_1_lambda_3",".700",0.85,"N = 500","500","3",499,379,76,343,68.7,13,2.6,451,90.4,48,"Yes",5259
"rilta_rilta_n_500_tp_1.385_th_1_lambda_3",".800",1.385,"N = 500","500","3",499,396,79.4,353,70.7,18,3.6,466,93.4,33,"Yes",7626
"rilta_rilta_n_1000_tp_-1.385_th_1_lambda_0",".200",-1.385,"N = 1000","1000","0",500,428,85.6,331,66.2,15,3,471,94.2,29,"Yes",8671
"rilta_rilta_n_1000_tp_-0.85_th_1_lambda_0",".300",-0.85,"N = 1000","1000","0",500,426,85.2,317,63.4,4,0.8,473,94.6,27,"Yes",9310
"rilta_rilta_n_1000_tp_-0.41_th_1_lambda_0",".400",-0.41,"N = 1000","1000","0",500,414,82.8,335,67,7,1.4,469,93.8,31,"Yes",8115
"rilta_rilta_n_1000_tp_0.41_th_1_lambda_0",".600",0.41,"N = 1000","1000","0",500,409,81.8,349,69.8,8,1.6,471,94.2,29,"Yes",8671
"rilta_rilta_n_1000_tp_0.85_th_1_lambda_0",".700",0.85,"N = 1000","1000","0",500,404,80.8,347,69.4,7,1.4,469,93.8,31,"Yes",8115
"rilta_rilta_n_1000_tp_1.385_th_1_lambda_0",".800",1.385,"N = 1000","1000","0",500,417,83.4,360,72,7,1.4,476,95.2,24,"Yes",10467
"rilta_rilta_n_1000_tp_-1.385_th_1_lambda_1",".200",-1.385,"N = 1000","1000","1",500,403,80.6,333,66.6,16,3.2,469,93.8,31,"Yes",8115
"rilta_rilta_n_1000_tp_-0.85_th_1_lambda_1",".300",-0.85,"N = 1000","1000","1",500,434,86.8,354,70.8,10,2,480,96,20,"Yes",12550
"rilta_rilta_n_1000_tp_-0.41_th_1_lambda_1",".400",-0.41,"N = 1000","1000","1",500,412,82.4,336,67.2,14,2.8,469,93.8,31,"Yes",8115
"rilta_rilta_n_1000_tp_0.41_th_1_lambda_1",".600",0.41,"N = 1000","1000","1",451,385,85.4,0,0,0,0,385,85.4,66,"Yes",3475
"rilta_rilta_n_1000_tp_0.85_th_1_lambda_1",".700",0.85,"N = 1000","1000","1",500,421,84.2,353,70.6,12,2.4,476,95.2,24,"Yes",10467
"rilta_rilta_n_1000_tp_1.385_th_1_lambda_1",".800",1.385,"N = 1000","1000","1",500,428,85.6,340,68,3,0.6,475,95,25,"Yes",10050
"rilta_rilta_n_1000_tp_-1.385_th_1_lambda_1.5",".200",-1.385,"N = 1000","1000","1.5",500,389,77.8,334,66.8,17,3.4,470,94,30,"Yes",8384
"rilta_rilta_n_1000_tp_-0.85_th_1_lambda_1.5",".300",-0.85,"N = 1000","1000","1.5",500,402,80.4,349,69.8,13,2.6,470,94,30,"Yes",8384
