"FileName","Population","TPs","Lambda","N","N_numeric","Total_Rows","Total_Violations","Total_True_Violations","True_Violation_Perc","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0",".400",-0.41,0,"N = 500","500",500,163,163,32.6,32.6,0,0,0,0,337,"Yes",942
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0",".300",-0.85,0,"N = 500","500",500,152,152,30.4,30.4,0,0,0,0,348,"Yes",909
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0",".200",-1.385,0,"N = 500","500",500,132,132,26.4,26.4,0,0,0,0,368,"Yes",854
"rilta_lta_n_500_tp_0.41_th_1_lambda_0",".600",0.41,0,"N = 500","500",500,138,138,27.6,27.6,0,0,0,0,362,"Yes",870
"rilta_lta_n_500_tp_0.85_th_1_lambda_0",".700",0.85,0,"N = 500","500",500,147,147,29.4,29.4,0,0,0,0,353,"Yes",894
"rilta_lta_n_500_tp_1.385_th_1_lambda_0",".800",1.385,0,"N = 500","500",500,144,144,28.8,28.8,0,0,0,0,356,"Yes",886
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.2",".400",-0.41,0.2,"N = 500","500",500,160,160,32,32,0,0,0,0,340,"Yes",933
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.2",".300",-0.85,0.2,"N = 500","500",500,165,165,33,33,0,0,0,0,335,"Yes",948
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.2",".200",-1.385,0.2,"N = 500","500",500,135,135,27,27,0,0,0,0,365,"Yes",862
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.2",".600",0.41,0.2,"N = 500","500",500,160,160,32,32,0,0,0,0,340,"Yes",933
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.2",".700",0.85,0.2,"N = 500","500",500,144,144,28.8,28.8,0,0,0,0,356,"Yes",886
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.2",".800",1.385,0.2,"N = 500","500",500,132,132,26.4,26.4,0,0,0,0,368,"Yes",854
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.4",".400",-0.41,0.4,"N = 500","500",500,146,146,29.2,29.2,0,0,0,0,354,"Yes",892
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.4",".300",-0.85,0.4,"N = 500","500",500,157,157,31.4,31.4,0,0,0,0,343,"Yes",924
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.4",".200",-1.385,0.4,"N = 500","500",500,152,152,30.4,30.4,0,0,0,0,348,"Yes",909
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.4",".600",0.41,0.4,"N = 500","500",500,168,169,33.8,33.6,0,0,1,0.2,331,"Yes",961
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.4",".700",0.85,0.4,"N = 500","500",500,156,156,31.2,31.2,0,0,0,0,344,"Yes",921
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.4",".800",1.385,0.4,"N = 500","500",500,120,120,24,24,0,0,0,0,380,"Yes",825
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.6",".400",-0.41,0.6,"N = 500","500",500,153,153,30.6,30.6,0,0,0,0,347,"Yes",912
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.6",".300",-0.85,0.6,"N = 500","500",500,165,165,33,33,0,0,0,0,335,"Yes",948
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.6",".200",-1.385,0.6,"N = 500","500",500,173,173,34.6,34.6,0,0,0,0,327,"Yes",975
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.6",".600",0.41,0.6,"N = 500","500",500,158,158,31.6,31.6,0,0,0,0,342,"Yes",927
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.6",".700",0.85,0.6,"N = 500","500",500,143,143,28.6,28.6,0,0,0,0,357,"Yes",883
