"FileName","Population","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"lta_lta_n_1000_tp_-0.41",0.4,"N = 1000","Mover",600,0.398,0.037,0.035,0.001,0.953,1,600,-0.5,5.71,-0.40375,6.59,1,1
"lta_lta_n_1000_tp_-0.85",0.3,"N = 1000","Mover",646,0.3,0.036,0.034,0.001,0.954,1,646,0,5.88,0.13241,6.53556,1,1
"lta_lta_n_1000_tp_-1.385",0.2,"N = 1000","Mover",764,0.201,0.033,0.034,0.001,0.932,1,764,0.5,-2.94,0.4335,-1.57686,1,1
"lta_lta_n_1000_tp_0.41",0.6,"N = 1000","Stayer",552,0.603,0.036,0.035,0.001,0.946,1,552,0.5,2.86,0.43887,2.2961,1,1
"lta_lta_n_1000_tp_0.85",0.7,"N = 1000","Stayer",525,0.701,0.033,0.034,0.001,0.947,1,525,0.14,-2.94,0.10747,-1.78079,1,1
"lta_lta_n_1000_tp_1.385",0.8,"N = 1000","Stayer",497,0.802,0.03,0.03,0.001,0.94,1,497,0.25,0,0.18595,-0.67203,1,1
"lta_lta_n_2000_tp_-0.41",0.4,"N = 2000","Mover",604,0.401,0.026,0.025,0.001,0.952,1,604,0.25,4,0.1255,3.59545,1,1
"lta_lta_n_2000_tp_-0.85",0.3,"N = 2000","Mover",636,0.3,0.025,0.024,0.001,0.953,1,636,0,4.17,0.04963,4.09176,1,1
"lta_lta_n_2000_tp_-1.385",0.2,"N = 2000","Mover",724,0.201,0.024,0.022,0,0.965,1,724,0.5,9.09,0.6265,7.01576,1,1
"lta_lta_n_2000_tp_0.41",0.6,"N = 2000","Stayer",564,0.602,0.025,0.025,0.001,0.949,1,564,0.33,0,0.31433,-0.38781,1,1
"lta_lta_n_2000_tp_0.85",0.7,"N = 2000","Stayer",523,0.701,0.023,0.023,0.001,0.96,1,523,0.14,0,0.11187,-0.55088,1,1
"lta_lta_n_2000_tp_1.385",0.8,"N = 2000","Stayer",550,0.8,0.021,0.021,0,0.945,1,550,0,0,0.05317,-0.05216,1,1
"lta_lta_n_4000_tp_-0.41",0.4,"N = 4000","Mover",581,0.401,0.018,0.017,0,0.959,1,581,0.25,5.88,0.3685,4.01396,1,1
"lta_lta_n_4000_tp_-0.85",0.3,"N = 4000","Mover",641,0.301,0.018,0.017,0,0.95,1,641,0.33,5.88,0.28827,3.73256,1,1
"lta_lta_n_4000_tp_-1.385",0.2,"N = 4000","Mover",656,0.201,0.017,0.016,0,0.96,1,656,0.5,6.25,0.2575,4.91645,1,1
"lta_lta_n_4000_tp_0.41",0.6,"N = 4000","Stayer",541,0.602,0.018,0.018,0,0.933,1,541,0.33,0,0.26645,-1.27462,1,1
"lta_lta_n_4000_tp_0.85",0.7,"N = 4000","Stayer",526,0.703,0.017,0.017,0,0.939,1,526,0.43,0,0.36466,-1.31389,1,1
"lta_lta_n_4000_tp_1.385",0.8,"N = 4000","Stayer",588,0.801,0.015,0.015,0,0.946,1,588,0.13,0,0.13752,-2.81158,1,1
"lta_lta_n_500_tp_-0.41",0.4,"N = 500","Mover",632,0.399,0.053,0.05,0.003,0.959,1,632,-0.25,6,-0.18475,4.92186,1,1
"lta_lta_n_500_tp_-0.85",0.3,"N = 500","Mover",639,0.301,0.051,0.05,0.002,0.955,0.998,639,0.33,2,0.19097,4.03136,1,1
"lta_lta_n_500_tp_-1.385",0.2,"N = 500","Mover",653,0.202,0.048,0.047,0.002,0.948,0.992,653,1,2.13,1.14,1.67273,1,1
"lta_lta_n_500_tp_0.41",0.6,"N = 500","Stayer",567,0.599,0.051,0.05,0.003,0.949,1,567,-0.17,2,-0.18223,1.27113,1,1
"lta_lta_n_500_tp_0.85",0.7,"N = 500","Stayer",527,0.7,0.048,0.049,0.002,0.939,1,527,0,-2.04,-0.0477,-1.11439,1,1
"lta_lta_n_500_tp_1.385",0.8,"N = 500","Stayer",533,0.799,0.043,0.044,0.002,0.94,1,533,-0.13,-2.27,-0.07987,-1.02607,1,1
