"FileName","Population","Lambda","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.2",0.4,0.2,"N = 1000","Mover",540,0.413,0.037,0.035,0.001,0.946,1,540,3.25,5.71,3.1245,4.99554,1,1
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.4",0.4,0.4,"N = 1000","Mover",531,0.45,0.037,0.035,0.004,0.733,1,531,12.5,5.71,12.49775,6.22504,1,0
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.6",0.4,0.6,"N = 1000","Mover",567,0.51,0.036,0.033,0.013,0.12,1,567,27.5,9.09,27.408,8.66887,1,0
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.8",0.4,0.8,"N = 1000","Mover",614,0.579,0.034,0.032,0.033,0,1,614,44.75,6.25,44.71125,5.77975,1,0
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0",0.4,0,"N = 1000","Mover",537,0.4,0.037,0.035,0.001,0.952,1,537,0,5.71,0.02675,5.57384,1,1
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_1",0.4,1,"N = 1000","Mover",570,0.645,0.032,0.031,0.061,0,1,570,61.25,3.23,61.3,3.94035,1,0
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.2",0.3,0.2,"N = 1000","Mover",564,0.313,0.036,0.034,0.001,0.945,1,564,4.33,5.88,4.46833,7.9895,1,1
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.4",0.3,0.4,"N = 1000","Mover",489,0.355,0.037,0.033,0.004,0.703,1,489,18.33,12.12,18.46137,11.90701,1,0
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.6",0.3,0.6,"N = 1000","Mover",575,0.429,0.036,0.034,0.018,0.054,1,575,43,5.88,43.1327,6.85464,1,0
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.8",0.3,0.8,"N = 1000","Mover",571,0.509,0.035,0.034,0.045,0,1,571,69.67,2.94,69.79509,2.47994,1,0
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0",0.3,0,"N = 1000","Mover",557,0.298,0.036,0.034,0.001,0.955,1,557,-0.67,5.88,-0.5477,5.80543,1,1
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_1",0.3,1,"N = 1000","Mover",547,0.587,0.033,0.032,0.083,0,1,547,95.67,3.12,95.60126,4.87126,1,0
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.2",0.2,0.2,"N = 1000","Mover",575,0.217,0.034,0.033,0.001,0.934,1,575,8.5,3.03,8.3355,3.2607,1,1
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.4",0.2,0.4,"N = 1000","Mover",541,0.267,0.036,0.033,0.006,0.521,1,541,33.5,9.09,33.355,8.44313,1,0
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.6",0.2,0.6,"N = 1000","Mover",557,0.347,0.036,0.036,0.023,0.02,1,557,73.5,0,73.4835,2.59639,1,0
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.8",0.2,0.8,"N = 1000","Mover",516,0.442,0.036,0.036,0.06,0,1,516,121,0,120.9645,-0.46164,1,0
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0",0.2,0,"N = 1000","Mover",569,0.201,0.033,0.032,0.001,0.951,1,569,0.5,3.12,0.367,4.36074,1,1
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_1",0.2,1,"N = 1000","Mover",520,0.532,0.033,0.031,0.111,0,1,520,166,6.45,165.861,7.86824,1,0
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.2",0.6,0.2,"N = 1000","Stayer",561,0.61,0.035,0.036,0.001,0.941,1,561,1.67,-2.78,1.67617,-0.40977,1,1
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.4",0.6,0.4,"N = 1000","Stayer",588,0.633,0.035,0.035,0.002,0.821,1,588,5.5,0,5.50394,0.75212,1,0
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.6",0.6,0.6,"N = 1000","Stayer",563,0.669,0.033,0.032,0.006,0.472,1,563,11.5,3.12,11.55696,2.53988,1,0
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.8",0.6,0.8,"N = 1000","Stayer",642,0.714,0.031,0.033,0.014,0.058,1,642,19,-6.06,18.99862,-4.91295,1,0
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0",0.6,0,"N = 1000","Stayer",556,0.601,0.036,0.035,0.001,0.953,1,556,0.17,2.86,0.20852,2.23465,1,1
