"FileName","Population","N","N_numeric","TPs","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"lta_rilta_n_500_tp_-1.385_th_1",".200","N = 500","500",-1.385,968,288,29.8,0,0,0,0,288,29.8,680,"No",900
"lta_rilta_n_500_tp_-0.85_th_1",".300","N = 500","500",-0.85,897,255,28.4,0,0,0,0,255,28.4,642,"No",881
"lta_rilta_n_500_tp_-0.41_th_1",".400","N = 500","500",-0.41,930,271,29.1,0,0,0,0,271,29.1,659,"No",890
"lta_rilta_n_500_tp_0.41_th_1",".600","N = 500","500",0.41,961,251,26.1,0,0,0,0,251,26.1,710,"No",850
"lta_rilta_n_500_tp_0.85_th_1",".700","N = 500","500",0.85,961,250,26,0,0,0,0,250,26,711,"No",849
"lta_rilta_n_500_tp_1.385_th_1",".800","N = 500","500",1.385,915,259,28.3,0,0,0,0,259,28.3,656,"No",879
"lta_rilta_n_1000_tp_-1.385_th_1",".200","N = 1000","1000",-1.385,965,285,29.5,0,0,0,0,285,29.5,680,"No",896
"lta_rilta_n_1000_tp_-0.85_th_1",".300","N = 1000","1000",-0.85,975,263,27,0,0,0,0,263,27,712,"No",862
"lta_rilta_n_1000_tp_-0.41_th_1",".400","N = 1000","1000",-0.41,975,268,27.5,0,0,0,0,268,27.5,707,"No",869
"lta_rilta_n_1000_tp_0.41_th_1",".600","N = 1000","1000",0.41,1017,279,27.4,0,0,0,0,279,27.4,738,"No",867
"lta_rilta_n_1000_tp_0.85_th_1",".700","N = 1000","1000",0.85,921,222,24.1,0,0,0,0,222,24.1,699,"No",826
"lta_rilta_n_1000_tp_1.385_th_1",".800","N = 1000","1000",1.385,892,226,25.3,0,0,0,0,226,25.3,666,"No",840
"lta_rilta_n_2000_tp_-1.385_th_1",".200","N = 2000","2000",-1.385,892,261,29.3,0,0,0,0,261,29.3,631,"No",893
"lta_rilta_n_2000_tp_-0.85_th_1",".300","N = 2000","2000",-0.85,924,262,28.4,0,0,0,0,262,28.4,662,"No",881
"lta_rilta_n_2000_tp_-0.41_th_1",".400","N = 2000","2000",-0.41,961,273,28.4,0,0,0,0,273,28.4,688,"No",881
"lta_rilta_n_2000_tp_0.41_th_1",".600","N = 2000","2000",0.41,906,256,28.3,0,0,0,0,256,28.3,650,"No",879
"lta_rilta_n_2000_tp_0.85_th_1",".700","N = 2000","2000",0.85,968,299,30.9,0,0,0,0,299,30.9,669,"No",916
"lta_rilta_n_2000_tp_1.385_th_1",".800","N = 2000","2000",1.385,906,222,24.5,0,0,0,0,222,24.5,684,"No",831
"lta_rilta_n_4000_tp_-1.385_th_1",".200","N = 4000","4000",-1.385,945,275,29.1,0,0,0,0,275,29.1,670,"No",890
"lta_rilta_n_4000_tp_-0.85_th_1",".300","N = 4000","4000",-0.85,955,266,27.9,0,0,0,0,266,27.9,689,"No",874
"lta_rilta_n_4000_tp_-0.41_th_1",".400","N = 4000","4000",-0.41,500,173,34.6,0,0,2,0.4,174,34.8,326,"Yes",978
"lta_rilta_n_4000_tp_0.41_th_1",".600","N = 4000","4000",0.41,500,150,30,0,0,1,0.2,151,30.2,349,"Yes",906
"lta_rilta_n_4000_tp_0.85_th_1",".700","N = 4000","4000",0.85,847,231,27.3,0,0,0,0,231,27.3,616,"No",866
"lta_rilta_n_4000_tp_1.385_th_1",".800","N = 4000","4000",1.385,831,207,24.9,0,0,0,0,207,24.9,624,"No",836
