"FileName","Population","TPs","N","N_numeric","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0",".200",-1.385,"N = 500","500","0",865,285,32.9,0,0,0,0,285,32.9,580,"No",796
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0",".300",-0.85,"N = 500","500","0",857,288,33.6,0,0,0,0,288,33.6,569,"No",804
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0",".400",-0.41,"N = 500","500","0",892,303,34,0,0,0,0,303,34,589,"No",808
"rilta_lta_n_500_tp_0.41_th_1_lambda_0",".600",0.41,"N = 500","500","0",837,272,32.5,0,0,0,0,272,32.5,565,"No",791
"rilta_lta_n_500_tp_0.85_th_1_lambda_0",".700",0.85,"N = 500","500","0",839,284,33.8,0,0,0,0,284,33.8,555,"No",806
"rilta_lta_n_500_tp_1.385_th_1_lambda_0",".800",1.385,"N = 500","500","0",903,317,35.1,0,0,0,0,317,35.1,586,"No",821
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.2",".200",-1.385,"N = 500","500","0.2",849,299,35.2,0,0,0,0,299,35.2,550,"No",822
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.2",".300",-0.85,"N = 500","500","0.2",847,287,33.9,0,0,0,0,287,33.9,560,"No",807
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.2",".400",-0.41,"N = 500","500","0.2",842,282,33.5,0,0,0,0,282,33.5,560,"No",802
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.2",".600",0.41,"N = 500","500","0.2",827,269,32.5,0,0,0,0,269,32.5,558,"No",791
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.2",".700",0.85,"N = 500","500","0.2",883,298,33.7,0,0,0,0,298,33.7,585,"No",805
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.2",".800",1.385,"N = 500","500","0.2",844,264,31.3,0,0,0,0,264,31.3,580,"No",778
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.4",".200",-1.385,"N = 500","500","0.4",892,297,33.3,0,0,0,0,297,33.3,595,"No",800
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.4",".300",-0.85,"N = 500","500","0.4",839,296,35.3,0,0,0,0,296,35.3,543,"No",823
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.4",".400",-0.41,"N = 500","500","0.4",832,254,30.5,0,0,0,0,254,30.5,578,"No",770
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.4",".600",0.41,"N = 500","500","0.4",829,292,35.2,0,0,1,0.1,293,35.3,536,"No",823
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.4",".700",0.85,"N = 500","500","0.4",825,284,34.4,0,0,0,0,284,34.4,541,"No",813
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.4",".800",1.385,"N = 500","500","0.4",802,296,36.9,0,0,0,0,296,36.9,506,"No",843
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.6",".200",-1.385,"N = 500","500","0.6",894,317,35.5,0,0,0,0,317,35.5,577,"No",826
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.6",".300",-0.85,"N = 500","500","0.6",903,325,36,0,0,0,0,325,36,578,"No",832
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.6",".400",-0.41,"N = 500","500","0.6",886,332,37.5,0,0,0,0,332,37.5,554,"No",850
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.6",".600",0.41,"N = 500","500","0.6",992,341,34.4,0,0,0,0,341,34.4,651,"No",813
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.6",".700",0.85,"N = 500","500","0.6",854,329,38.5,0,0,0,0,329,38.5,525,"No",864
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.6",".800",1.385,"N = 500","500","0.6",875,313,35.8,0,0,0,0,313,35.8,562,"No",829
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.8",".200",-1.385,"N = 500","500","0.8",958,395,41.2,0,0,0,0,395,41.2,563,"No",901
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.8",".300",-0.85,"N = 500","500","0.8",942,329,34.9,0,0,0,0,329,34.9,613,"No",819
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.8",".400",-0.41,"N = 500","500","0.8",948,363,38.3,0,0,0,0,363,38.3,585,"No",861
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.8",".600",0.41,"N = 500","500","0.8",1093,420,38.4,0,0,0,0,420,38.4,673,"No",862
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.8",".700",0.85,"N = 500","500","0.8",995,361,36.3,0,0,0,0,361,36.3,634,"No",835
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.8",".800",1.385,"N = 500","500","0.8",942,338,35.9,0,0,0,0,338,35.9,604,"No",831
"rilta_lta_n_500_tp_-1.385_th_1_lambda_1",".200",-1.385,"N = 500","500","1",927,388,41.9,0,0,0,0,388,41.9,539,"No",911
"rilta_lta_n_500_tp_-0.85_th_1_lambda_1",".300",-0.85,"N = 500","500","1",945,374,39.6,0,0,0,0,374,39.6,571,"No",878
"rilta_lta_n_500_tp_-0.41_th_1_lambda_1",".400",-0.41,"N = 500","500","1",924,377,40.8,0,0,0,0,377,40.8,547,"No",895
"rilta_lta_n_500_tp_0.41_th_1_lambda_1",".600",0.41,"N = 500","500","1",988,402,40.7,0,0,1,0.1,403,40.8,585,"No",895
"rilta_lta_n_500_tp_0.85_th_1_lambda_1",".700",0.85,"N = 500","500","1",1021,381,37.3,0,0,0,0,381,37.3,640,"No",848
"rilta_lta_n_500_tp_1.385_th_1_lambda_1",".800",1.385,"N = 500","500","1",965,370,38.3,0,0,0,0,370,38.3,595,"No",861
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0",".200",-1.385,"N = 1000","1000","0",867,298,34.4,0,0,0,0,298,34.4,569,"No",813
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0",".300",-0.85,"N = 1000","1000","0",829,272,32.8,0,0,0,0,272,32.8,557,"No",795
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0",".400",-0.41,"N = 1000","1000","0",822,285,34.7,0,0,0,0,285,34.7,537,"No",816
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0",".600",0.41,"N = 1000","1000","0",844,288,34.1,0,0,0,0,288,34.1,556,"No",809
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0",".700",0.85,"N = 1000","1000","0",844,249,29.5,0,0,0,0,249,29.5,595,"No",760
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0",".800",1.385,"N = 1000","1000","0",875,304,34.7,0,0,0,0,304,34.7,571,"No",816
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.2",".200",-1.385,"N = 1000","1000","0.2",875,300,34.3,0,0,0,0,300,34.3,575,"No",812
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.2",".300",-0.85,"N = 1000","1000","0.2",813,249,30.6,0,0,0,0,249,30.6,564,"No",771
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.2",".400",-0.41,"N = 1000","1000","0.2",809,269,33.3,0,0,0,0,269,33.3,540,"No",800
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.2",".600",0.41,"N = 1000","1000","0.2",849,288,33.9,0,0,0,0,288,33.9,561,"No",807
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.2",".700",0.85,"N = 1000","1000","0.2",827,258,31.2,0,0,0,0,258,31.2,569,"No",777
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.2",".800",1.385,"N = 1000","1000","0.2",878,288,32.8,0,0,0,0,288,32.8,590,"No",795
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.4",".200",-1.385,"N = 1000","1000","0.4",870,329,37.8,0,0,0,0,329,37.8,541,"No",854
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.4",".300",-0.85,"N = 1000","1000","0.4",800,311,38.9,0,0,0,0,311,38.9,489,"Yes",869
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.4",".400",-0.41,"N = 1000","1000","0.4",839,308,36.7,0,0,0,0,308,36.7,531,"No",840
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.4",".600",0.41,"N = 1000","1000","0.4",872,284,32.6,0,0,0,0,284,32.6,588,"No",792
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.4",".700",0.85,"N = 1000","1000","0.4",852,290,34,0,0,0,0,290,34,562,"No",808
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.4",".800",1.385,"N = 1000","1000","0.4",878,293,33.4,0,0,0,0,293,33.4,585,"No",801
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.6",".200",-1.385,"N = 1000","1000","0.6",927,370,39.9,0,0,0,0,370,39.9,557,"No",882
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.6",".300",-0.85,"N = 1000","1000","0.6",930,355,38.2,0,0,0,0,355,38.2,575,"No",860
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.6",".400",-0.41,"N = 1000","1000","0.6",927,360,38.8,0,0,0,0,360,38.8,567,"No",867
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.6",".600",0.41,"N = 1000","1000","0.6",942,379,40.2,0,0,0,0,379,40.2,563,"No",887
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.6",".700",0.85,"N = 1000","1000","0.6",897,354,39.5,0,0,0,0,354,39.5,543,"No",877
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.6",".800",1.385,"N = 1000","1000","0.6",921,334,36.3,0,0,0,0,334,36.3,587,"No",835
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.8",".200",-1.385,"N = 1000","1000","0.8",886,370,41.8,0,0,0,0,370,41.8,516,"No",910
