"N_numeric","Population","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500",".200",500,34.4,0,0,34.4,32.7,0,0,32.7,971,653,"✅ Fixed"
"500",".300",500,33,0,0,33,32.6,0,0,32.6,948,639,"✅ Fixed"
"500",".400",500,29.4,0,0,29.4,29.3,0,0,29.3,894,632,"✅ Fixed"
"500",".600",500,18.6,0,0,18.6,26,0,0,26,766,567,"✅ Fixed"
"500",".700",500,15.2,0,0,15.2,28.1,0,0,28.1,733,527,"✅ Fixed"
"500",".800",500,13.4,0,0,13.4,25.7,0,0,25.7,717,533,"✅ Fixed"
"1000",".200",500,43.6,0,0,43.6,34,0,0,34,1157,764,"✅ Fixed"
"1000",".300",500,33.6,0,0,33.6,32.6,0,0,32.6,958,646,"✅ Fixed"
"1000",".400",500,22,0,0,22,25.2,0,0,25.2,802,600,"✅ Fixed"
"1000",".600",500,13.8,0,0,13.8,23.3,0,0,23.3,720,552,"✅ Fixed"
"1000",".700",500,14.4,0,0,14.4,27.7,0,0,27.7,726,525,"✅ Fixed"
"1000",".800",500,9,0,0,9,26.9,0,0,26.9,680,497,"⚠️ Additional Runs Required"
"2000",".200",500,40.2,0,0,40.2,33,0,0,33,1080,724,"✅ Fixed"
"2000",".300",500,33.8,0,0,33.8,33.8,0,0,33.8,961,636,"✅ Fixed"
"2000",".400",500,26.4,0,0,26.4,29.3,0,0,29.3,854,604,"✅ Fixed"
"2000",".600",500,19.6,0,0,19.6,27.3,0,0,27.3,776,564,"✅ Fixed"
"2000",".700",500,13,0,0,13,26.6,0,0,26.6,713,523,"✅ Fixed"
"2000",".800",500,13.4,0,0,13.4,23.3,0,0,23.3,717,550,"✅ Fixed"
"4000",".200",500,29.8,0,0,29.8,27.1,0,0,27.1,900,656,"✅ Fixed"
"4000",".300",500,33,0,0,33,32.4,0,0,32.4,948,641,"✅ Fixed"
"4000",".400",500,25,0,0,25,30.6,0,0,30.6,837,581,"✅ Fixed"
"4000",".600",500,18.2,0,0,18.2,29,0,0,29,762,541,"✅ Fixed"
"4000",".700",500,10.8,0,0,10.8,24.3,0,0,24.3,695,526,"✅ Fixed"
"4000",".800",500,16,0,0,16,20.5,0,0,20.5,740,588,"✅ Fixed"
