"N_numeric","Population","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500",".200",500,34.2,0,0,34.2,29.8,0,0,29.8,968,680,"✅ Fixed"
"500",".300",500,29.6,0,0,29.6,28.4,0,0,28.4,897,642,"✅ Fixed"
"500",".400",500,31.8,0,0,31.8,29.1,0,0,29.1,930,659,"✅ Fixed"
"500",".600",500,33.8,0,0,33.8,26.1,0,0,26.1,961,710,"✅ Fixed"
"500",".700",500,33.8,0.2,0,33.8,26,0,0,26,961,711,"✅ Fixed"
"500",".800",500,30.8,0,0,30.8,28.3,0,0,28.3,915,656,"✅ Fixed"
"1000",".200",500,33.6,0.4,0,34,29.5,0,0,29.5,965,680,"✅ Fixed"
"1000",".300",500,34.6,0.2,0,34.6,27,0,0,27,975,712,"✅ Fixed"
"1000",".400",500,34.2,0.4,0,34.6,27.5,0,0,27.5,975,707,"✅ Fixed"
"1000",".600",500,37,0,0,37,27.4,0,0,27.4,1017,738,"✅ Fixed"
"1000",".700",500,31.2,0,0.2,31.2,24.1,0,0,24.1,921,699,"✅ Fixed"
"1000",".800",500,29.2,0,0,29.2,25.3,0,0,25.3,892,666,"✅ Fixed"
"2000",".200",500,29,0.2,0,29.2,29.3,0,0,29.3,892,631,"✅ Fixed"
"2000",".300",500,30.8,0.6,0,31.4,28.4,0,0,28.4,924,662,"✅ Fixed"
"2000",".400",500,33.6,0.4,0,33.8,28.4,0,0,28.4,961,688,"✅ Fixed"
"2000",".600",500,30,0.8,0,30.2,28.3,0,0,28.3,906,650,"✅ Fixed"
"2000",".700",500,33.8,0.8,0,34.2,30.9,0,0,30.9,968,669,"✅ Fixed"
"2000",".800",500,30,0.2,0,30.2,24.5,0,0,24.5,906,684,"✅ Fixed"
"4000",".200",500,32.2,0.6,0,32.8,29.1,0,0,29.1,945,670,"✅ Fixed"
"4000",".300",500,33,0.6,0,33.4,27.9,0,0,27.9,955,689,"✅ Fixed"
"4000",".400",500,34.6,0.4,0,34.8,34.6,0.4,0,34.8,978,326,"⚠️ Additional Runs Required"
"4000",".600",500,30,0.2,0,30.2,30,0.2,0,30.2,906,349,"⚠️ Additional Runs Required"
"4000",".700",500,25.4,0.4,0,25.8,27.3,0,0,27.3,847,616,"✅ Fixed"
"4000",".800",500,27.4,0.6,0,28,24.9,0,0,24.9,875,624,"✅ Fixed"
