"N_numeric","Population","Lambda","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
500,".200",0,500,27.2,0,0,27.2,32.9,0,0,32.9,865,580,"✅ Fixed"
500,".200",0.2,500,26,0,0,26,35.2,0,0,35.2,849,550,"✅ Fixed"
500,".200",0.4,500,29.2,0,0,29.2,33.3,0,0,33.3,892,595,"✅ Fixed"
500,".200",0.6,500,29.4,0,0,29.4,35.5,0,0,35.5,894,577,"✅ Fixed"
500,".200",0.8,500,33.6,0,0,33.6,41.2,0,0,41.2,958,563,"✅ Fixed"
500,".200",1,500,31.6,0,0,31.6,41.9,0,0,41.9,927,539,"✅ Fixed"
500,".300",0,500,26.6,0,0,26.6,33.6,0,0,33.6,857,569,"✅ Fixed"
500,".300",0.2,500,25.8,0,0,25.8,33.9,0,0,33.9,847,560,"✅ Fixed"
500,".300",0.4,500,25.2,0,0,25.2,35.3,0,0,35.3,839,543,"✅ Fixed"
500,".300",0.6,500,30,0,0,30,36,0,0,36,903,578,"✅ Fixed"
500,".300",0.8,500,32.6,0,0,32.6,34.9,0,0,34.9,942,613,"✅ Fixed"
500,".300",1,500,32.8,0,0,32.8,39.6,0,0,39.6,945,571,"✅ Fixed"
500,".400",0,500,29.2,0,0,29.2,34,0,0,34,892,589,"✅ Fixed"
500,".400",0.2,500,25.4,0,0,25.4,33.5,0,0,33.5,842,560,"✅ Fixed"
500,".400",0.4,500,24.6,0,0,24.6,30.5,0,0,30.5,832,578,"✅ Fixed"
500,".400",0.6,500,28.8,0,0,28.8,37.5,0,0,37.5,886,554,"✅ Fixed"
500,".400",0.8,500,33,0,0,33,38.3,0,0,38.3,948,585,"✅ Fixed"
500,".400",1,500,31.4,0,0,31.4,40.8,0,0,40.8,924,547,"✅ Fixed"
500,".600",0,500,25,0,0,25,32.5,0,0,32.5,837,565,"✅ Fixed"
500,".600",0.2,500,24.2,0,0,24.2,32.5,0,0,32.5,827,558,"✅ Fixed"
500,".600",0.4,500,24.4,0,0,24.4,35.2,0.1,0,35.3,829,536,"✅ Fixed"
500,".600",0.6,500,35.6,0,0,35.6,34.4,0,0,34.4,992,651,"✅ Fixed"
500,".600",0.8,500,40.8,0,0,40.8,38.4,0,0,38.4,1093,673,"✅ Fixed"
500,".600",1,500,35.4,0,0,35.4,40.7,0.1,0,40.8,988,585,"✅ Fixed"
500,".700",0,500,25.2,0,0,25.2,33.8,0,0,33.8,839,555,"✅ Fixed"
500,".700",0.2,500,28.6,0,0,28.6,33.7,0,0,33.7,883,585,"✅ Fixed"
500,".700",0.4,500,24,0,0,24,34.4,0,0,34.4,825,541,"✅ Fixed"
500,".700",0.6,500,26.4,0,0,26.4,38.5,0,0,38.5,854,525,"✅ Fixed"
500,".700",0.8,500,35.8,0,0,35.8,36.3,0,0,36.3,995,634,"✅ Fixed"
500,".700",1,500,37,0.2,0,37.2,37.3,0,0,37.3,1021,640,"✅ Fixed"
500,".800",0,500,30,0,0,30,35.1,0,0,35.1,903,586,"✅ Fixed"
500,".800",0.2,500,25.6,0,0,25.6,31.3,0,0,31.3,844,580,"✅ Fixed"
500,".800",0.4,500,22,0,0,22,36.9,0,0,36.9,802,506,"✅ Fixed"
500,".800",0.6,500,28,0,0,28,35.8,0,0,35.8,875,562,"✅ Fixed"
500,".800",0.8,500,32.6,0,0,32.6,35.9,0,0,35.9,942,604,"✅ Fixed"
500,".800",1,500,34,0,0,34,38.3,0,0,38.3,965,595,"✅ Fixed"
1000,".200",0,500,27.4,0,0,27.4,34.4,0,0,34.4,867,569,"✅ Fixed"
1000,".200",0.2,500,28,0,0,28,34.3,0,0,34.3,875,575,"✅ Fixed"
1000,".200",0.4,500,27.6,0,0,27.6,37.8,0,0,37.8,870,541,"✅ Fixed"
1000,".200",0.6,500,32,0,0,32,39.9,0,0,39.9,933,557,"✅ Fixed"
1000,".200",0.8,500,28.8,0,0,28.8,41.8,0,0,41.8,886,516,"✅ Fixed"
1000,".200",1,500,31.2,0,0,31.2,43.5,0,0,43.5,921,520,"✅ Fixed"
1000,".300",0,500,24.4,0,0,24.4,32.8,0,0,32.8,829,557,"✅ Fixed"
1000,".300",0.2,500,23,0,0,23,30.6,0,0,30.6,813,564,"✅ Fixed"
1000,".300",0.4,500,21.8,0,0,21.8,38.9,0,0,38.9,800,489,"⚠️ Additional Runs Required"
1000,".300",0.6,500,31.8,0,0,31.8,38.2,0,0,38.2,930,575,"✅ Fixed"
1000,".300",0.8,500,32.6,0,0,32.6,39.4,0,0,39.4,942,571,"✅ Fixed"
1000,".300",1,500,29.6,0.2,0,29.8,39.2,0,0,39.2,900,547,"✅ Fixed"
1000,".400",0,500,23.8,0,0,23.8,34.7,0,0,34.7,822,537,"✅ Fixed"
1000,".400",0.2,500,22.6,0,0,22.6,33.3,0,0,33.3,809,540,"✅ Fixed"
1000,".400",0.4,500,25.2,0,0,25.2,36.7,0,0,36.7,839,531,"✅ Fixed"
1000,".400",0.6,500,31.6,0,0,31.6,38.8,0,0,38.8,927,567,"✅ Fixed"
1000,".400",0.8,500,36,0,0,36,38.5,0,0,38.5,999,614,"✅ Fixed"
1000,".400",1,500,31.2,0,0,31.2,38.1,0,0,38.1,921,570,"✅ Fixed"
1000,".600",0,500,25.6,0,0,25.6,34.1,0,0,34.1,844,556,"✅ Fixed"
1000,".600",0.2,500,26,0,0,26,33.9,0,0,33.9,849,561,"✅ Fixed"
1000,".600",0.4,500,27.8,0,0,27.8,32.6,0,0,32.6,872,588,"✅ Fixed"
1000,".600",0.6,500,32.6,0,0,32.6,40.2,0,0,40.2,942,563,"✅ Fixed"
1000,".600",0.8,500,38.6,0,0,38.6,38.7,0,0,38.7,1048,642,"✅ Fixed"
1000,".600",1,500,35,0,0,35,38.6,0,0,38.6,981,602,"✅ Fixed"
1000,".700",0,500,25.6,0,0,25.6,29.5,0,0,29.5,844,595,"✅ Fixed"
1000,".700",0.2,500,24.2,0,0,24.2,31.2,0,0,31.2,827,569,"✅ Fixed"
1000,".700",0.4,500,26.2,0,0,26.2,34,0,0,34,852,562,"✅ Fixed"
1000,".700",0.6,500,29.6,0,0,29.6,39.5,0,0,39.5,897,543,"✅ Fixed"
1000,".700",0.8,500,37,0,0,37,39,0,0,39,1017,620,"✅ Fixed"
1000,".700",1,500,35.4,0,0,35.4,38.4,0.1,0,38.5,988,608,"✅ Fixed"
1000,".800",0,500,28,0,0,28,34.7,0,0,34.7,875,571,"✅ Fixed"
1000,".800",0.2,500,28.2,0,0,28.2,32.8,0,0,32.8,878,590,"✅ Fixed"
1000,".800",0.4,500,28.2,0,0,28.2,33.4,0,0,33.4,878,585,"✅ Fixed"
1000,".800",0.6,500,31.2,0,0,31.2,36.3,0,0,36.3,921,587,"✅ Fixed"
1000,".800",0.8,500,29.6,0,0,29.6,38.2,0,0,38.2,897,554,"✅ Fixed"
1000,".800",1,500,31,0,0,31,39.5,0,0,39.5,918,555,"✅ Fixed"
2000,".200",0,500,26.6,0,0,26.6,33.3,0,0,33.3,857,572,"✅ Fixed"
2000,".200",0.2,500,28.2,0,0,28.2,35.6,0,0,35.6,878,565,"✅ Fixed"
2000,".200",0.4,500,33.6,0,0,33.6,36.1,0,0,36.1,958,612,"✅ Fixed"
2000,".200",0.6,500,30.2,0,0,30.2,37.2,0,0,37.2,906,569,"✅ Fixed"
2000,".200",0.8,500,31.4,0,0,31.4,42.3,0,0,42.3,924,533,"✅ Fixed"
2000,".200",1,500,31.2,0.2,0,31.2,45.5,0,0,45.5,921,502,"✅ Fixed"
2000,".300",0,500,22.2,0,0,22.2,28.6,0,0,28.6,804,574,"✅ Fixed"
2000,".300",0.2,500,22.4,0,0,22.4,31.3,0,0,31.3,806,554,"✅ Fixed"
2000,".300",0.4,500,24.8,0,0,24.8,36.9,0,0,36.9,834,526,"✅ Fixed"
2000,".300",0.6,500,30.6,0,0,30.6,38.2,0,0,38.2,912,564,"✅ Fixed"
2000,".300",0.8,500,38.8,0,0,38.8,41.3,0,0,41.3,1052,617,"✅ Fixed"
2000,".300",1,500,25.8,0,0,25.8,39.7,0.1,0,39.7,847,511,"✅ Fixed"
2000,".400",0,500,26,0,0,26,30.2,0,0,30.2,849,593,"✅ Fixed"
2000,".400",0.2,500,21.6,0,0,21.6,31,0,0,31,797,550,"✅ Fixed"
2000,".400",0.4,500,25,0,0,25,33.1,0,0,33.1,837,560,"✅ Fixed"
2000,".400",0.6,500,27.8,0,0,27.8,37.8,0,0,37.8,872,542,"✅ Fixed"
2000,".400",0.8,500,30.8,0,0,30.8,38.6,0,0,38.6,915,562,"✅ Fixed"
2000,".400",1,500,32,0,0,32,42,0.1,0,42.1,933,540,"✅ Fixed"
2000,".600",0,500,24.6,0,0,24.6,31.6,0,0,31.6,832,569,"✅ Fixed"
2000,".600",0.2,500,25.8,0,0,25.8,31.5,0,0,31.5,847,580,"✅ Fixed"
2000,".600",0.4,500,23.6,0,0,23.6,31.1,0,0,31.1,820,565,"✅ Fixed"
2000,".600",0.6,500,27.8,0,0,27.8,36.4,0,0,36.4,872,555,"✅ Fixed"
2000,".600",0.8,500,35.4,0,0,35.4,36.6,0,0,36.6,988,626,"✅ Fixed"
2000,".600",1,500,30.2,0,0,30.2,37.9,0,0,37.9,906,563,"✅ Fixed"
2000,".700",0,500,20.8,0,0,20.8,36.8,0,0,36.8,789,499,"⚠️ Additional Runs Required"
2000,".700",0.2,500,21.6,0,0,21.6,32.7,0,0,32.7,797,536,"✅ Fixed"
2000,".700",0.4,500,26.8,0,0,26.8,27.1,0,0,27.1,859,626,"✅ Fixed"
2000,".700",0.6,500,26.2,0,0,26.2,34,0.1,0,34.2,852,561,"✅ Fixed"
2000,".700",0.8,500,33.8,0,0,33.8,35.2,0,0,35.2,961,623,"✅ Fixed"
2000,".700",1,500,29.4,0.2,0,29.6,34.1,0,0,34.1,897,591,"✅ Fixed"
2000,".800",0,500,22.4,0,0,22.4,35.5,0,0,35.5,806,520,"✅ Fixed"
