"N","N_numeric","Population","TPs","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"N = 500","500",".200",-1.385,500,172,34.4,0,0,0,0,172,34.4,971
"N = 500","500",".300",-0.85,500,165,33,0,0,0,0,165,33,948
"N = 500","500",".400",-0.41,500,147,29.4,0,0,0,0,147,29.4,894
"N = 500","500",".600",0.41,500,93,18.6,0,0,0,0,93,18.6,766
"N = 500","500",".700",0.85,500,76,15.2,0,0,0,0,76,15.2,733
"N = 500","500",".800",1.385,500,67,13.4,0,0,0,0,67,13.4,717
"N = 1000","1000",".200",-1.385,500,218,43.6,0,0,0,0,218,43.6,1157
"N = 1000","1000",".300",-0.85,500,168,33.6,0,0,0,0,168,33.6,958
"N = 1000","1000",".400",-0.41,500,110,22,0,0,0,0,110,22,802
"N = 1000","1000",".600",0.41,500,69,13.8,0,0,0,0,69,13.8,720
"N = 1000","1000",".700",0.85,500,72,14.4,0,0,0,0,72,14.4,726
"N = 1000","1000",".800",1.385,500,45,9,0,0,0,0,45,9,680
"N = 2000","2000",".200",-1.385,500,201,40.2,0,0,0,0,201,40.2,1080
"N = 2000","2000",".300",-0.85,500,169,33.8,0,0,0,0,169,33.8,961
"N = 2000","2000",".400",-0.41,500,132,26.4,0,0,0,0,132,26.4,854
"N = 2000","2000",".600",0.41,500,98,19.6,0,0,0,0,98,19.6,776
"N = 2000","2000",".700",0.85,500,65,13,0,0,0,0,65,13,713
"N = 2000","2000",".800",1.385,500,67,13.4,0,0,0,0,67,13.4,717
"N = 4000","4000",".200",-1.385,500,149,29.8,0,0,0,0,149,29.8,900
"N = 4000","4000",".300",-0.85,500,165,33,0,0,0,0,165,33,948
"N = 4000","4000",".400",-0.41,500,125,25,0,0,0,0,125,25,837
"N = 4000","4000",".600",0.41,500,91,18.2,0,0,0,0,91,18.2,762
"N = 4000","4000",".700",0.85,500,54,10.8,0,0,0,0,54,10.8,695
"N = 4000","4000",".800",1.385,500,80,16,0,0,0,0,80,16,740
