"N","N_numeric","Population","TPs","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"N = 500","500",".200",-1.385,500,171,34.2,0,0,0,0,171,34.2,968
"N = 500","500",".300",-0.85,500,148,29.6,0,0,0,0,148,29.6,897
"N = 500","500",".400",-0.41,500,159,31.8,0,0,0,0,159,31.8,930
"N = 500","500",".600",0.41,500,169,33.8,0,0,0,0,169,33.8,961
"N = 500","500",".700",0.85,500,169,33.8,0,0,1,0.2,169,33.8,961
"N = 500","500",".800",1.385,500,154,30.8,0,0,0,0,154,30.8,915
"N = 1000","1000",".200",-1.385,500,168,33.6,0,0,2,0.4,170,34,965
"N = 1000","1000",".300",-0.85,500,173,34.6,0,0,1,0.2,173,34.6,975
"N = 1000","1000",".400",-0.41,500,171,34.2,0,0,2,0.4,173,34.6,975
"N = 1000","1000",".600",0.41,500,185,37,0,0,0,0,185,37,1017
"N = 1000","1000",".700",0.85,500,156,31.2,1,0.2,0,0,156,31.2,921
"N = 1000","1000",".800",1.385,500,146,29.2,0,0,0,0,146,29.2,892
"N = 2000","2000",".200",-1.385,500,145,29,0,0,1,0.2,146,29.2,892
"N = 2000","2000",".300",-0.85,500,154,30.8,0,0,3,0.6,157,31.4,924
"N = 2000","2000",".400",-0.41,500,168,33.6,0,0,2,0.4,169,33.8,961
"N = 2000","2000",".600",0.41,500,150,30,0,0,4,0.8,151,30.2,906
"N = 2000","2000",".700",0.85,500,169,33.8,0,0,4,0.8,171,34.2,968
"N = 2000","2000",".800",1.385,500,150,30,0,0,1,0.2,151,30.2,906
"N = 4000","4000",".200",-1.385,500,161,32.2,0,0,3,0.6,164,32.8,945
"N = 4000","4000",".300",-0.85,500,165,33,0,0,3,0.6,167,33.4,955
"N = 4000","4000",".400",-0.41,500,173,34.6,0,0,2,0.4,174,34.8,978
"N = 4000","4000",".600",0.41,500,150,30,0,0,1,0.2,151,30.2,906
"N = 4000","4000",".700",0.85,500,127,25.4,0,0,2,0.4,129,25.8,847
"N = 4000","4000",".800",1.385,500,137,27.4,0,0,3,0.6,140,28,875
