FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.21,0.032,0.065,0.004,0.914,0.998,500,5,-50.77,1
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.062,0.004,0.894,1,500,4,-48.39,2
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.21,0.032,0.061,0.004,0.908,1,500,5,-47.54,3
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.056,0.003,0.908,1,500,4,-42.86,4
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.207,0.032,0.06,0.004,0.916,0.998,500,3.5,-46.67,5
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.06,0.004,0.926,0.998,500,4,-46.67,6
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.21,0.032,0.062,0.004,0.93,0.998,500,5,-48.39,7
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.207,0.033,0.058,0.003,0.918,0.998,500,3.5,-43.1,8
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.033,0.058,0.003,0.924,0.994,500,4,-43.1,9
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.209,0.032,0.062,0.004,0.894,0.998,500,4.5,-48.39,10
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.062,0.004,0.9,1,500,4,-48.39,11
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.206,0.032,0.056,0.003,0.924,0.996,500,3,-42.86,12
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.206,0.032,0.054,0.003,0.918,1,500,3,-40.74,13
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.211,0.033,0.071,0.005,0.892,0.992,500,5.5,-53.52,14
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.207,0.032,0.062,0.004,0.902,1,500,3.5,-48.39,15
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.064,0.004,0.894,0.998,500,4,-50,16
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.213,0.033,0.068,0.005,0.914,0.996,500,6.5,-51.47,17
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.213,0.032,0.072,0.005,0.906,1,500,6.5,-55.55,18
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.033,0.067,0.005,0.896,0.996,500,4,-50.75,19
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.203,0.032,0.058,0.003,0.904,0.996,500,1.5,-44.83,20
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.212,0.033,0.071,0.005,0.902,0.998,500,6,-53.52,21
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.205,0.032,0.063,0.004,0.906,1,500,2.5,-49.21,22
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.06,0.004,0.918,1,500,4,-46.67,23
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.209,0.033,0.06,0.004,0.898,0.996,500,4.5,-45,24
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.214,0.032,0.075,0.006,0.874,1,500,7,-57.33,25
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.207,0.032,0.06,0.004,0.936,1,500,3.5,-46.67,26
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.211,0.033,0.066,0.004,0.912,1,500,5.5,-50,27
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.062,0.004,0.908,1,500,4,-48.39,28
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.205,0.032,0.05,0.002,0.932,0.996,500,2.5,-36,29
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.055,0.003,0.93,0.998,500,4,-41.82,30
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.205,0.032,0.056,0.003,0.896,1,500,2.5,-42.86,31
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.061,0.004,0.924,1,500,4,-47.54,32
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.207,0.032,0.064,0.004,0.918,0.998,500,3.5,-50,33
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.206,0.033,0.057,0.003,0.924,0.998,500,3,-42.1,34
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.06,0.004,0.926,1,500,4,-46.67,35
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.21,0.032,0.067,0.005,0.908,1,500,5,-52.24,36
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.208,0.032,0.058,0.003,0.922,0.998,500,4,-44.83,37
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.205,0.032,0.061,0.004,0.882,0.998,500,2.5,-47.54,38
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.21,0.032,0.061,0.004,0.916,0.998,500,5,-47.54,39
rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3,Model 2,0.2,N = 500,".60, .30, .10",0.3,500,0.211,0.033,0.068,0.005,0.906,1,500,5.5,-51.47,40
