FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.206,0.058,0.065,0.004,0.928,0.97,500,3,-10.77,1
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.209,0.058,0.062,0.004,0.928,0.978,500,4.5,-6.45,2
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.208,0.059,0.062,0.004,0.932,0.964,500,4,-4.84,3
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.213,0.058,0.066,0.005,0.922,0.974,500,6.5,-12.12,4
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.213,0.058,0.067,0.005,0.928,0.98,500,6.5,-13.43,5
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.214,0.058,0.07,0.005,0.914,0.974,500,7,-17.14,6
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.206,0.057,0.068,0.005,0.91,0.972,500,3,-16.18,7
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.206,0.058,0.062,0.004,0.938,0.976,500,3,-6.45,8
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.21,0.058,0.067,0.005,0.928,0.978,500,5,-13.43,9
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.209,0.057,0.071,0.005,0.914,0.966,500,4.5,-19.72,10
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.206,0.059,0.059,0.003,0.934,0.972,500,3,0,11
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.204,0.057,0.063,0.004,0.932,0.972,500,2,-9.52,12
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.211,0.059,0.065,0.004,0.938,0.98,500,5.5,-9.23,13
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.206,0.058,0.064,0.004,0.928,0.976,500,3,-9.37,14
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.206,0.058,0.065,0.004,0.92,0.966,500,3,-10.77,15
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.215,0.059,0.065,0.005,0.938,0.986,500,7.5,-9.23,16
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.21,0.059,0.064,0.004,0.94,0.978,500,5,-7.81,17
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.217,0.058,0.069,0.005,0.934,0.984,500,8.5,-15.94,18
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.209,0.058,0.069,0.005,0.92,0.958,500,4.5,-15.94,19
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.211,0.058,0.063,0.004,0.928,0.98,500,5.5,-7.94,20
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.21,0.058,0.066,0.005,0.95,0.982,500,5,-12.12,21
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.21,0.058,0.071,0.005,0.91,0.97,500,5,-18.31,22
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.208,0.057,0.072,0.005,0.894,0.96,500,4,-20.83,23
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.205,0.058,0.063,0.004,0.936,0.972,500,2.5,-7.94,24
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.21,0.058,0.064,0.004,0.932,0.972,500,5,-9.37,25
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.205,0.058,0.061,0.004,0.946,0.966,500,2.5,-4.92,26
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.212,0.058,0.065,0.004,0.926,0.97,500,6,-10.77,27
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.209,0.058,0.068,0.005,0.92,0.976,500,4.5,-14.71,28
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.213,0.058,0.067,0.005,0.938,0.976,500,6.5,-13.43,29
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.21,0.057,0.069,0.005,0.926,0.978,500,5,-17.39,30
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.217,0.058,0.067,0.005,0.936,0.978,500,8.5,-13.43,31
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.209,0.058,0.065,0.004,0.932,0.98,500,4.5,-10.77,32
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.209,0.058,0.063,0.004,0.936,0.982,500,4.5,-7.94,33
rilta_lta_m2_n_1000_tp_0.407_m_1_l_a,Model 2,0.2,N = 1000,".10, .30, .60",A,500,0.209,0.058,0.066,0.004,0.934,0.978,500,4.5,-12.12,34
