FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.249,0.051,0.053,0.005,0.83,0.978,500,24.5,-3.77,1
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.244,0.051,0.055,0.005,0.838,0.98,500,22,-7.27,2
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.247,0.051,0.049,0.005,0.842,0.988,500,23.5,4.08,3
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.245,0.051,0.052,0.005,0.826,0.988,500,22.5,-1.92,4
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.249,0.051,0.046,0.005,0.86,0.994,500,24.5,10.87,5
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.24,0.051,0.051,0.004,0.864,0.982,500,20,0,6
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.25,0.052,0.053,0.005,0.81,0.98,500,25,-1.89,7
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.25,0.051,0.052,0.005,0.794,0.99,500,25,-1.92,8
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.244,0.052,0.052,0.005,0.842,0.986,500,22,0,9
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.25,0.051,0.052,0.005,0.802,0.994,500,25,-1.92,10
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.248,0.051,0.052,0.005,0.818,0.988,500,24,-1.92,11
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.248,0.051,0.055,0.005,0.808,0.99,500,24,-7.27,12
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.249,0.051,0.05,0.005,0.82,0.992,500,24.5,2,13
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.243,0.052,0.051,0.004,0.852,0.988,500,21.5,1.96,14
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.248,0.051,0.05,0.005,0.85,0.992,500,24,2,15
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.249,0.052,0.049,0.005,0.842,0.99,500,24.5,6.12,16
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.249,0.051,0.052,0.005,0.81,0.978,500,24.5,-1.92,17
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.248,0.052,0.052,0.005,0.834,0.99,500,24,0,18
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.248,0.051,0.05,0.005,0.834,0.994,500,24,2,19
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.247,0.051,0.052,0.005,0.84,0.986,500,23.5,-1.92,20
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.243,0.052,0.051,0.004,0.856,0.986,500,21.5,1.96,21
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.246,0.052,0.053,0.005,0.826,0.988,500,23,-1.89,22
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.243,0.052,0.052,0.005,0.862,0.98,500,21.5,0,23
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.252,0.051,0.052,0.005,0.786,0.988,500,26,-1.92,24
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.244,0.052,0.049,0.004,0.85,0.996,500,22,6.12,25
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.245,0.052,0.054,0.005,0.826,0.982,500,22.5,-3.7,26
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.251,0.051,0.051,0.005,0.814,0.992,500,25.5,0,27
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.245,0.051,0.055,0.005,0.842,0.98,500,22.5,-7.27,28
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.246,0.052,0.057,0.005,0.818,0.968,500,23,-8.77,29
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.244,0.051,0.055,0.005,0.828,0.978,500,22,-7.27,30
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.251,0.051,0.052,0.005,0.816,0.992,500,25.5,-1.92,31
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.248,0.052,0.054,0.005,0.812,0.98,500,24,-3.7,32
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.243,0.052,0.054,0.005,0.838,0.992,500,21.5,-3.7,33
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.246,0.051,0.053,0.005,0.834,0.978,500,23,-3.77,34
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.248,0.052,0.055,0.005,0.818,0.984,500,24,-5.45,35
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.239,0.052,0.055,0.005,0.854,0.984,500,19.5,-5.45,36
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.245,0.051,0.048,0.004,0.87,0.99,500,22.5,6.25,37
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.242,0.052,0.057,0.005,0.818,0.974,500,21,-8.77,38
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.247,0.051,0.053,0.005,0.816,0.988,500,23.5,-3.77,39
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.25,0.051,0.053,0.005,0.814,0.982,500,25,-3.77,40
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.25,0.051,0.055,0.005,0.802,0.98,500,25,-7.27,41
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.252,0.051,0.052,0.005,0.794,0.986,500,26,-1.92,42
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.25,0.051,0.052,0.005,0.818,0.99,500,25,-1.92,43
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.246,0.051,0.049,0.005,0.836,0.992,500,23,4.08,44
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.245,0.051,0.052,0.005,0.846,0.99,500,22.5,-1.92,45
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.251,0.051,0.052,0.005,0.802,0.99,500,25.5,-1.92,46
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.247,0.051,0.05,0.005,0.848,0.986,500,23.5,2,47
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.246,0.051,0.055,0.005,0.832,0.972,500,23,-7.27,48
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.246,0.051,0.053,0.005,0.826,0.994,500,23,-3.77,49
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.245,0.052,0.053,0.005,0.848,0.974,500,22.5,-1.89,50
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.247,0.052,0.053,0.005,0.834,0.984,500,23.5,-1.89,51
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.247,0.051,0.051,0.005,0.828,0.986,500,23.5,0,52
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.249,0.051,0.051,0.005,0.816,0.982,500,24.5,0,53
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.25,0.051,0.052,0.005,0.802,0.992,500,25,-1.92,54
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.249,0.052,0.051,0.005,0.828,0.99,500,24.5,1.96,55
rilta_lta_m3_n_5000_tp_0.407_m_1_l_b,Model 3,0.2,N = 5000,".10, .30, .60",B,500,0.247,0.051,0.054,0.005,0.832,0.98,500,23.5,-5.56,56
