"FileName","Model","Population","N","Mixing_proportion","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","mean_a1","mean_a2","mean_b11","mean_b12","mean_b21","mean_b22","mean_SE_a1","mean_SE_a2","mean_SE_b11","mean_SE_b12","mean_SE_b21","mean_SE_b22","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"lta_lta_m1_n_1000_tp_0.407_m_1","Model 1",0.2,"N = 1000",".10, .30, .60",640,0.22,0.141,0.128,0.017,0.895,0.382,640,-1.151,-1.207,-15.633,-0.386,-22.327,2.332,0.412,0.818,2.272,1.713,1.785,1.974,10,10.16,9.914,11.00899,0,0
"lta_lta_m1_n_1000_tp_0.407_m_2","Model 1",0.2,"N = 1000",".33, .33, .33",614,0.196,0.072,0.069,0.005,0.932,0.781,614,-1.482,-28.836,-4.02,28.808,2.072,30.184,0.554,1.737,0.787,1.565,1.296,1.608,-2,4.35,-1.9025,3.43672,0,1
"lta_lta_m1_n_1000_tp_0.407_m_3","Model 1",0.2,"N = 1000",".60, .30, .10",596,0.202,0.049,0.048,0.002,0.933,0.968,596,-12.301,-120.642,11.576,120.489,12.271,121.176,2.412,2.897,2.509,2.82,2.802,3.037,1,2.08,0.9545,1.42391,1,1
"lta_lta_m1_n_1000_tp_3.179_m_1","Model 1",0.8,"N = 1000",".10, .30, .60",594,0.778,0.131,0.111,0.013,0.948,0.993,594,-1.152,-1.123,18.247,-2022.811,1.241,2.175,0.404,0.824,2.479,3.257,1.086,1.081,-2.75,18.02,-2.74181,18.88595,1,1
"lta_lta_m1_n_1000_tp_3.179_m_2","Model 1",0.8,"N = 1000",".33, .33, .33",609,0.797,0.057,0.05,0.003,0.969,1,609,-1.141,-4.307,5.422,-53.666,1.18,4.984,0.487,1.165,1.11,2.164,0.923,1.273,-0.38,14,-0.40798,14.6017,1,1
"lta_lta_m1_n_1000_tp_3.179_m_3","Model 1",0.8,"N = 1000",".60, .30, .10",604,0.798,0.04,0.039,0.002,0.955,1,604,-18.511,-56.547,20.696,-164.677,9.759,57.143,2.279,2.914,2.43,3.679,2.658,2.959,-0.25,2.56,-0.22056,4.17568,1,1
"lta_lta_m1_n_2500_tp_0.407_m_1","Model 1",0.2,"N = 2500",".10, .30, .60",609,0.202,0.083,0.078,0.006,0.941,0.689,609,-1.123,-1.127,-1.232,1.124,1.138,1.829,0.213,0.434,0.732,0.616,0.436,0.516,1,6.41,0.6575,6.46311,0,1
"lta_lta_m1_n_2500_tp_0.407_m_2","Model 1",0.2,"N = 2500",".33, .33, .33",562,0.198,0.042,0.04,0.002,0.952,0.995,562,-1.123,-1.173,0.418,1.145,1.108,1.844,0.255,0.58,0.372,0.438,0.465,0.589,-1,5,-0.852,7.29109,1,1
"lta_lta_m1_n_2500_tp_0.407_m_3","Model 1",0.2,"N = 2500",".60, .30, .10",564,0.201,0.028,0.029,0.001,0.938,1,564,-1.915,-6.348,1.244,6.35,1.938,7.066,0.865,1.457,0.936,1.444,1.079,1.574,0.5,-3.45,0.5285,-3.0512,1,1
"lta_lta_m1_n_2500_tp_3.179_m_1","Model 1",0.8,"N = 2500",".10, .30, .60",644,0.794,0.081,0.077,0.006,0.944,1,644,-1.1,-1.126,8.61,-1168.355,1.127,1.822,0.186,0.433,1.439,2.891,0.429,0.49,-0.75,5.19,-0.69444,5.18395,1,1
"lta_lta_m1_n_2500_tp_3.179_m_2","Model 1",0.8,"N = 2500",".33, .33, .33",540,0.799,0.035,0.035,0.001,0.941,1,540,-1.114,-1.137,3.271,1.014,1.111,1.802,0.251,0.548,0.513,0.852,0.466,0.548,-0.13,0,-0.08569,-1.28626,1,1
"lta_lta_m1_n_2500_tp_3.179_m_3","Model 1",0.8,"N = 2500",".60, .30, .10",564,0.799,0.024,0.024,0.001,0.949,1,564,-1.279,-23.993,3.408,23.965,1.283,24.699,0.925,1.531,1.025,1.589,1.136,1.561,-0.13,0,-0.14591,1.55115,1,1
"lta_lta_m1_n_500_tp_0.407_m_1","Model 1",0.2,"N = 500",".10, .30, .60",598,0.228,0.188,0.173,0.031,0.823,0.258,598,-1.203,-2.382,-3336.076,-180.467,0.675,5.44,0.66,1.347,2.888,2.827,4.043,3.824,14,8.67,14.19,8.87774,0,0
"lta_lta_m1_n_500_tp_0.407_m_2","Model 1",0.2,"N = 500",".33, .33, .33",629,0.196,0.171,0.1,0.01,0.897,0.532,629,-7.317,-23.729,-11.434,23.599,7.338,26.189,0.947,1.866,904.984,3.293,2.687,2.907,-2,71,-2.111,67.47736,0,0
"lta_lta_m1_n_500_tp_0.407_m_3","Model 1",0.2,"N = 500",".60, .30, .10",593,0.194,0.075,0.069,0.005,0.921,0.764,593,-27.111,-109.528,26.215,109.052,-18.389,106.399,2.266,5.354,2.466,5.429,2.78,5.601,-3,8.7,-2.8965,9.09517,0,1
"lta_lta_m1_n_500_tp_3.179_m_1","Model 1",0.8,"N = 500",".10, .30, .60",608,0.742,0.189,0.16,0.029,0.906,0.911,608,4.38,-32.951,18.429,-635.705,-9.394,36.724,0.659,1.614,3.623,6.284,2.738,3.287,-7.25,18.12,-7.31794,18.82943,1,0
"lta_lta_m1_n_500_tp_3.179_m_2","Model 1",0.8,"N = 500",".33, .33, .33",624,0.787,0.09,0.082,0.007,0.955,0.994,624,-26.844,-36.38,35.952,-294.782,19.479,36.22,0.944,2.077,2.024,3.822,2.121,2.45,-1.63,9.76,-1.63856,9.63078,1,1
"lta_lta_m1_n_500_tp_3.179_m_3","Model 1",0.8,"N = 500",".60, .30, .10",555,0.793,0.065,0.062,0.004,0.959,0.996,555,-50.722,-345.451,53.271,-57.755,48.131,345.8,4.369,3.89,4.597,5.029,4.884,9.431,-0.88,4.84,-0.85577,6.81743,1,1
"lta_lta_m1_n_5000_tp_0.407_m_1","Model 1",0.2,"N = 5000",".10, .30, .60",599,0.199,0.056,0.055,0.003,0.947,0.947,599,-1.115,-1.103,0.406,1.121,1.126,1.813,0.139,0.273,0.4,0.384,0.283,0.331,-0.5,1.82,-0.4215,2.6402,1,1
"lta_lta_m1_n_5000_tp_0.407_m_2","Model 1",0.2,"N = 5000",".33, .33, .33",577,0.196,0.028,0.027,0.001,0.957,1,577,-1.117,-1.097,0.427,1.134,1.135,1.812,0.168,0.351,0.247,0.275,0.301,0.364,-2,3.7,-1.8175,3.89034,1,1
"lta_lta_m1_n_5000_tp_0.407_m_3","Model 1",0.2,"N = 5000",".60, .30, .10",605,0.2,0.02,0.019,0,0.964,1,605,-1.151,-1.285,0.488,1.333,1.17,2.013,0.39,0.729,0.437,0.735,0.53,0.824,0,5.26,-0.109,5.48937,1,1
"lta_lta_m1_n_5000_tp_3.179_m_1","Model 1",0.8,"N = 5000",".10, .30, .60",670,0.801,0.057,0.053,0.003,0.958,1,670,-1.098,-1.106,5.672,-1264.798,1.113,1.799,0.121,0.272,1.093,2.104,0.28,0.321,0.13,7.55,0.1556,7.91544,1,1
"lta_lta_m1_n_5000_tp_3.179_m_2","Model 1",0.8,"N = 5000",".33, .33, .33",422,0.798,0.024,0.024,0.001,0.943,1,422,-1.104,-1.071,3.237,1.124,1.132,1.787,0.163,0.343,0.317,0.491,0.306,0.347,-0.25,0,-0.28776,2.09723,1,1
"lta_lta_m1_n_5000_tp_3.179_m_3","Model 1",0.8,"N = 5000",".60, .30, .10",552,0.801,0.016,0.016,0,0.957,1,552,-1.145,-1.186,3.291,1.251,1.175,1.929,0.454,1.279,0.521,1.304,0.593,1.325,0.13,0,0.12205,1.6483,1,1
"lta_lta_m2_n_1000_tp_0.407_m_1","Model 2",0.2,"N = 1000",".10, .30, .60",526,0.203,0.057,0.063,0.004,0.933,0.96,526,-1.109,-1.098,0.397,1.092,1.096,1.789,0.165,0.115,0.453,0.324,0.241,0.203,1.5,-9.52,1.781,-8.17014,1,1
"lta_lta_m2_n_1000_tp_0.407_m_2","Model 2",0.2,"N = 1000",".33, .33, .33",513,0.201,0.03,0.036,0.001,0.951,1,513,-1.105,-1.094,0.408,1.097,1.1,1.789,0.204,0.165,0.286,0.232,0.263,0.23,0.5,-16.67,0.313,-13.8342,1,1
"lta_lta_m2_n_1000_tp_0.407_m_3","Model 2",0.2,"N = 1000",".60, .30, .10",509,0.202,0.022,0.034,0.001,0.939,1,509,-1.147,-1.105,0.456,1.105,1.143,1.803,0.413,0.385,0.452,0.416,0.457,0.424,1,-35.29,0.796,-32.34267,1,1
"lta_lta_m2_n_1000_tp_3.179_m_1","Model 2",0.8,"N = 1000",".10, .30, .60",541,0.798,0.063,0.074,0.005,0.917,1,541,-1.109,-1.098,3.978,-29.923,1.027,1.819,0.139,0.112,1.145,1.26,0.249,0.203,-0.25,-14.86,-0.22018,-13.64317,1,1
"lta_lta_m2_n_1000_tp_3.179_m_2","Model 2",0.8,"N = 1000",".33, .33, .33",489,0.797,0.031,0.039,0.002,0.933,1,489,-1.105,-1.099,3.199,1.101,1.095,1.812,0.198,0.156,0.38,0.399,0.275,0.218,-0.38,-20.51,-0.31836,-20.20705,1,1
"lta_lta_m2_n_1000_tp_3.179_m_3","Model 2",0.8,"N = 1000",".60, .30, .10",502,0.798,0.022,0.026,0.001,0.95,1,502,-2.141,-1.102,4.227,1.105,2.126,1.81,0.597,0.32,0.673,0.433,0.643,0.361,-0.25,-15.38,-0.18653,-13.35441,1,1
"lta_lta_m2_n_2500_tp_0.407_m_1","Model 2",0.2,"N = 2500",".10, .30, .60",534,0.204,0.036,0.05,0.002,0.938,1,534,-1.109,-1.099,0.429,1.107,1.104,1.778,0.102,0.072,0.267,0.2,0.15,0.128,2,-28,2.282,-26.71036,1,1
"lta_lta_m2_n_2500_tp_0.407_m_2","Model 2",0.2,"N = 2500",".33, .33, .33",505,0.203,0.019,0.038,0.001,0.949,1,505,-1.106,-1.104,0.427,1.107,1.103,1.782,0.127,0.103,0.176,0.145,0.163,0.144,1.5,-50,1.746,-48.18239,1,1
"lta_lta_m2_n_2500_tp_0.407_m_3","Model 2",0.2,"N = 2500",".60, .30, .10",502,0.201,0.014,0.023,0.001,0.954,1,502,-1.119,-1.097,0.432,1.1,1.117,1.789,0.244,0.229,0.267,0.248,0.27,0.253,0.5,-39.13,0.6885,-33.42298,1,1
"lta_lta_m2_n_2500_tp_3.179_m_1","Model 2",0.8,"N = 2500",".10, .30, .60",516,0.801,0.04,0.05,0.003,0.944,1,516,-1.108,-1.098,3.297,1.151,1.102,1.806,0.087,0.07,0.436,0.498,0.154,0.126,0.13,-20,0.17738,-19.44048,1,1
"lta_lta_m2_n_2500_tp_3.179_m_2","Model 2",0.8,"N = 2500",".33, .33, .33",482,0.795,0.019,0.042,0.002,0.929,1,482,-1.1,-1.102,3.171,1.11,1.095,1.818,0.123,0.098,0.233,0.244,0.171,0.137,-0.63,-54.76,-0.61956,-53.80025,1,1
"lta_lta_m2_n_2500_tp_3.179_m_3","Model 2",0.8,"N = 2500",".60, .30, .10",496,0.797,0.014,0.03,0.001,0.942,1,496,-1.129,-1.098,3.201,1.101,1.129,1.807,0.295,0.198,0.341,0.266,0.324,0.223,-0.38,-53.33,-0.37738,-50.05572,1,1
"lta_lta_m2_n_500_tp_0.407_m_1","Model 2",0.2,"N = 500",".10, .30, .60",537,0.208,0.083,0.095,0.009,0.899,0.746,537,-1.104,-1.094,-0.122,1.105,1.104,1.794,0.239,0.166,0.692,0.487,0.353,0.297,4,-12.63,4.1565,-12.28898,0,0
"lta_lta_m2_n_500_tp_0.407_m_2","Model 2",0.2,"N = 500",".33, .33, .33",520,0.204,0.043,0.056,0.003,0.927,0.996,520,-1.116,-1.111,0.426,1.119,1.101,1.79,0.296,0.242,0.419,0.338,0.383,0.335,2,-23.21,2.0055,-21.67398,1,1
"lta_lta_m2_n_500_tp_0.407_m_3","Model 2",0.2,"N = 500",".60, .30, .10",510,0.201,0.031,0.046,0.002,0.935,1,510,-1.571,-1.358,0.871,1.357,1.564,2.052,0.728,0.63,0.783,0.674,0.785,0.681,0.5,-32.61,0.662,-30.46221,1,1
"lta_lta_m2_n_500_tp_3.179_m_1","Model 2",0.8,"N = 500",".10, .30, .60",565,0.792,0.089,0.097,0.009,0.913,1,565,-1.117,-1.097,7.422,-30.775,1.17,1.882,0.199,0.16,2.374,2.558,0.385,0.318,-1,-8.25,-0.91676,-7.45059,1,1
