"FileName","Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_0.3","Model 1","N = 500",500,".200",0.407,1,".10, .30, .60","0.3",500,212,42.4,166,33.2,5,1,307,61.4,193,"Yes",1867
"rilta_lta_m1_n_500_tp_0.407_m_1_l_0.5","Model 1","N = 500",500,".200",0.407,1,".10, .30, .60","0.5",500,235,47,128,25.6,3,0.6,304,60.8,196,"Yes",1829
"rilta_lta_m1_n_500_tp_0.407_m_1_l_0.7","Model 1","N = 500",500,".200",0.407,1,".10, .30, .60","0.7",500,253,50.6,151,30.2,1,0.2,325,65,175,"Yes",2139
"rilta_lta_m1_n_500_tp_0.407_m_1_l_0.9","Model 1","N = 500",500,".200",0.407,1,".10, .30, .60","0.9",499,263,52.7,172,34.5,5,1,339,67.9,160,"Yes",2420
"rilta_lta_m1_n_500_tp_0.407_m_1_l_a","Model 1","N = 500",500,".200",0.407,1,".10, .30, .60","A",500,223,44.6,214,42.8,6,1.2,344,68.8,156,"Yes",2531
"rilta_lta_m1_n_500_tp_0.407_m_1_l_b","Model 1","N = 500",500,".200",0.407,1,".10, .30, .60","B",500,210,42,159,31.8,4,0.8,299,59.8,201,"Yes",1768
"rilta_lta_m1_n_500_tp_0.407_m_1_l_c","Model 1","N = 500",500,".200",0.407,1,".10, .30, .60","C",500,241,48.2,205,41,5,1,346,69.2,154,"Yes",2581
"rilta_lta_m1_n_500_tp_0.407_m_1_l_d","Model 1","N = 500",500,".200",0.407,1,".10, .30, .60","D",500,243,48.6,184,36.8,3,0.6,336,67.2,164,"Yes",2349
"rilta_lta_m1_n_500_tp_0.407_m_2_l_0.3","Model 1","N = 500",500,".200",0.407,2,".33, .33, .33","0.3",500,234,46.8,81,16.2,4,0.8,272,54.4,228,"Yes",1501
"rilta_lta_m1_n_500_tp_0.407_m_2_l_0.5","Model 1","N = 500",500,".200",0.407,2,".33, .33, .33","0.5",500,240,48,83,16.6,2,0.4,286,57.2,214,"Yes",1628
"rilta_lta_m1_n_500_tp_0.407_m_2_l_0.7","Model 1","N = 500",500,".200",0.407,2,".33, .33, .33","0.7",499,260,52.1,90,18,1,0.2,307,61.5,192,"Yes",1870
"rilta_lta_m1_n_500_tp_0.407_m_2_l_0.9","Model 1","N = 500",500,".200",0.407,2,".33, .33, .33","0.9",498,251,50.4,102,20.5,0,0,290,58.2,208,"Yes",1672
"rilta_lta_m1_n_500_tp_0.407_m_2_l_a","Model 1","N = 500",500,".200",0.407,2,".33, .33, .33","A",500,237,47.4,171,34.2,6,1.2,323,64.6,177,"Yes",2105
"rilta_lta_m1_n_500_tp_0.407_m_2_l_b","Model 1","N = 500",500,".200",0.407,2,".33, .33, .33","B",500,250,50,97,19.4,2,0.4,299,59.8,201,"Yes",1768
"rilta_lta_m1_n_500_tp_0.407_m_2_l_c","Model 1","N = 500",500,".200",0.407,2,".33, .33, .33","C",500,240,48,134,26.8,4,0.8,300,60,200,"Yes",1780
"rilta_lta_m1_n_500_tp_0.407_m_2_l_d","Model 1","N = 500",500,".200",0.407,2,".33, .33, .33","D",500,252,50.4,144,28.8,6,1.2,321,64.2,179,"Yes",2072
