"FileName","Model","Population","TPs","N","N_numeric","Mix","Mixing_proportion","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed"
"lta_lta_m1_n_500_tp_0.407_m_1","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60",1531,617,40.3,461,30.1,2,0.1,887,57.9,644,"No"
"lta_lta_m1_n_500_tp_0.407_m_2","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33",1814,931,51.3,427,23.5,0,0,1130,62.3,684,"No"
"lta_lta_m1_n_500_tp_0.407_m_3","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10",1641,737,44.9,486,29.6,6,0.4,993,60.5,648,"No"
"lta_lta_m2_n_500_tp_0.407_m_1","Model 2",".200",0.407,"N = 500",500,1,".10, .30, .60",654,16,2.4,4,0.6,0,0,20,3.1,634,"No"
"lta_lta_m2_n_500_tp_0.407_m_2","Model 2",".200",0.407,"N = 500",500,2,".33, .33, .33",642,41,6.4,2,0.3,0,0,42,6.5,600,"No"
"lta_lta_m2_n_500_tp_0.407_m_3","Model 2",".200",0.407,"N = 500",500,3,".60, .30, .10",640,27,4.2,1,0.2,0,0,28,4.4,612,"No"
"lta_lta_m3_n_500_tp_0.407_m_1","Model 3",".200",0.407,"N = 500",500,1,".10, .30, .60",881,159,18,108,12.3,1,0.1,249,28.3,632,"No"
"lta_lta_m3_n_500_tp_0.407_m_2","Model 3",".200",0.407,"N = 500",500,2,".33, .33, .33",839,164,19.5,28,3.3,0,0,183,21.8,656,"No"
"lta_lta_m3_n_500_tp_0.407_m_3","Model 3",".200",0.407,"N = 500",500,3,".60, .30, .10",712,115,16.2,17,2.4,0,0,127,17.8,585,"No"
"lta_lta_m1_n_500_tp_3.179_m_1","Model 1",".800",3.179,"N = 500",500,1,".10, .30, .60",1617,666,41.2,572,35.4,6,0.4,1000,61.8,617,"No"
"lta_lta_m1_n_500_tp_3.179_m_2","Model 1",".800",3.179,"N = 500",500,2,".33, .33, .33",2407,1293,53.7,738,30.7,6,0.2,1593,66.2,814,"No"
"lta_lta_m1_n_500_tp_3.179_m_3","Model 1",".800",3.179,"N = 500",500,3,".60, .30, .10",2644,1234,46.7,995,37.6,9,0.3,1750,66.2,894,"No"
"lta_lta_m2_n_500_tp_3.179_m_1","Model 2",".800",3.179,"N = 500",500,1,".10, .30, .60",728,26,3.6,58,8,0,0,81,11.1,647,"No"
"lta_lta_m2_n_500_tp_3.179_m_2","Model 2",".800",3.179,"N = 500",500,2,".33, .33, .33",651,58,8.9,3,0.5,0,0,61,9.4,590,"No"
"lta_lta_m2_n_500_tp_3.179_m_3","Model 2",".800",3.179,"N = 500",500,3,".60, .30, .10",669,41,6.1,10,1.5,0,0,51,7.6,618,"No"
"lta_lta_m3_n_500_tp_3.179_m_1","Model 3",".800",3.179,"N = 500",500,1,".10, .30, .60",1213,235,19.4,385,31.7,1,0.1,531,43.8,682,"No"
"lta_lta_m3_n_500_tp_3.179_m_2","Model 3",".800",3.179,"N = 500",500,2,".33, .33, .33",968,247,25.5,65,6.7,0,0,291,30.1,677,"No"
"lta_lta_m3_n_500_tp_3.179_m_3","Model 3",".800",3.179,"N = 500",500,3,".60, .30, .10",765,153,20,29,3.8,0,0,176,23,589,"No"
"lta_lta_m1_n_1000_tp_0.407_m_1","Model 1",".200",0.407,"N = 1000",1000,1,".10, .30, .60",1115,436,39.1,139,12.5,2,0.2,520,46.6,595,"No"
"lta_lta_m1_n_1000_tp_0.407_m_2","Model 1",".200",0.407,"N = 1000",1000,2,".33, .33, .33",1244,591,47.5,144,11.6,0,0,658,52.9,586,"No"
"lta_lta_m1_n_1000_tp_0.407_m_3","Model 1",".200",0.407,"N = 1000",1000,3,".60, .30, .10",1126,463,41.1,174,15.5,0,0,550,48.8,576,"No"
"lta_lta_m2_n_1000_tp_0.407_m_1","Model 2",".200",0.407,"N = 1000",1000,1,".10, .30, .60",637,11,1.7,0,0,0,0,11,1.7,626,"No"
"lta_lta_m2_n_1000_tp_0.407_m_2","Model 2",".200",0.407,"N = 1000",1000,2,".33, .33, .33",629,20,3.2,0,0,1,0.2,21,3.3,608,"No"
"lta_lta_m2_n_1000_tp_0.407_m_3","Model 2",".200",0.407,"N = 1000",1000,3,".60, .30, .10",634,22,3.5,0,0,0,0,22,3.5,612,"No"
"lta_lta_m3_n_1000_tp_0.407_m_1","Model 3",".200",0.407,"N = 1000",1000,1,".10, .30, .60",762,78,10.2,37,4.9,0,0,113,14.8,649,"No"
"lta_lta_m3_n_1000_tp_0.407_m_2","Model 3",".200",0.407,"N = 1000",1000,2,".33, .33, .33",809,132,16.3,15,1.9,1,0.1,142,17.6,667,"No"
"lta_lta_m3_n_1000_tp_0.407_m_3","Model 3",".200",0.407,"N = 1000",1000,3,".60, .30, .10",697,109,15.6,1,0.1,0,0,110,15.8,587,"No"
"lta_lta_m1_n_1000_tp_3.179_m_1","Model 1",".800",3.179,"N = 1000",1000,1,".10, .30, .60",1197,442,36.9,276,23.1,1,0.1,620,51.8,577,"No"
"lta_lta_m1_n_1000_tp_3.179_m_2","Model 1",".800",3.179,"N = 1000",1000,2,".33, .33, .33",1340,680,50.7,194,14.5,3,0.2,761,56.8,579,"No"
"lta_lta_m1_n_1000_tp_3.179_m_3","Model 1",".800",3.179,"N = 1000",1000,3,".60, .30, .10",1318,552,41.9,279,21.2,2,0.2,688,52.2,630,"No"
"lta_lta_m2_n_1000_tp_3.179_m_1","Model 2",".800",3.179,"N = 1000",1000,1,".10, .30, .60",654,14,2.1,9,1.4,1,0.2,24,3.7,630,"No"
"lta_lta_m2_n_1000_tp_3.179_m_2","Model 2",".800",3.179,"N = 1000",1000,2,".33, .33, .33",637,46,7.2,1,0.2,0,0,47,7.4,590,"No"
"lta_lta_m2_n_1000_tp_3.179_m_3","Model 2",".800",3.179,"N = 1000",1000,3,".60, .30, .10",640,32,5,3,0.5,0,0,35,5.5,605,"No"
"lta_lta_m3_n_1000_tp_3.179_m_1","Model 3",".800",3.179,"N = 1000",1000,1,".10, .30, .60",999,130,13,218,21.8,0,0,307,30.7,692,"No"
"lta_lta_m3_n_1000_tp_3.179_m_2","Model 3",".800",3.179,"N = 1000",1000,2,".33, .33, .33",833,201,24.1,9,1.1,0,0,207,24.8,626,"No"
"lta_lta_m3_n_1000_tp_3.179_m_3","Model 3",".800",3.179,"N = 1000",1000,3,".60, .30, .10",731,93,12.7,4,0.5,1,0.1,97,13.3,634,"No"
"lta_lta_m1_n_2500_tp_0.407_m_1","Model 1",".200",0.407,"N = 2500",2500,1,".10, .30, .60",972,349,35.9,8,0.8,1,0.1,355,36.5,617,"No"
"lta_lta_m1_n_2500_tp_0.407_m_2","Model 1",".200",0.407,"N = 2500",2500,2,".33, .33, .33",1032,509,49.3,1,0.1,2,0.2,512,49.6,520,"No"
"lta_lta_m1_n_2500_tp_0.407_m_3","Model 1",".200",0.407,"N = 2500",2500,3,".60, .30, .10",972,430,44.2,13,1.3,0,0,437,45,535,"No"
"lta_lta_m2_n_2500_tp_0.407_m_1","Model 2",".200",0.407,"N = 2500",2500,1,".10, .30, .60",634,13,2.1,0,0,0,0,13,2.1,621,"No"
"lta_lta_m2_n_2500_tp_0.407_m_2","Model 2",".200",0.407,"N = 2500",2500,2,".33, .33, .33",628,24,3.8,0,0,0,0,24,3.8,604,"No"
"lta_lta_m2_n_2500_tp_0.407_m_3","Model 2",".200",0.407,"N = 2500",2500,3,".60, .30, .10",625,21,3.4,0,0,0,0,21,3.4,604,"No"
"lta_lta_m3_n_2500_tp_0.407_m_1","Model 3",".200",0.407,"N = 2500",2500,1,".10, .30, .60",793,69,8.7,39,4.9,1,0.1,106,13.4,687,"No"
"lta_lta_m3_n_2500_tp_0.407_m_2","Model 3",".200",0.407,"N = 2500",2500,2,".33, .33, .33",822,131,15.9,20,2.4,0,0,149,18.1,673,"No"
"lta_lta_m3_n_2500_tp_0.407_m_3","Model 3",".200",0.407,"N = 2500",2500,3,".60, .30, .10",698,117,16.8,2,0.3,0,0,118,16.9,580,"No"
"lta_lta_m1_n_2500_tp_3.179_m_1","Model 1",".800",3.179,"N = 2500",2500,1,".10, .30, .60",949,335,35.3,81,8.5,0,0,392,41.3,557,"No"
"lta_lta_m1_n_2500_tp_3.179_m_2","Model 1",".800",3.179,"N = 2500",2500,2,".33, .33, .33",1077,566,52.6,11,1,0,0,572,53.1,505,"No"
"lta_lta_m1_n_2500_tp_3.179_m_3","Model 1",".800",3.179,"N = 2500",2500,3,".60, .30, .10",948,359,37.9,30,3.2,1,0.1,383,40.4,565,"No"
"lta_lta_m2_n_2500_tp_3.179_m_1","Model 2",".800",3.179,"N = 2500",2500,1,".10, .30, .60",625,4,0.6,2,0.3,0,0,6,1,619,"No"
"lta_lta_m2_n_2500_tp_3.179_m_2","Model 2",".800",3.179,"N = 2500",2500,2,".33, .33, .33",620,43,6.9,0,0,0,0,43,6.9,577,"No"
"lta_lta_m2_n_2500_tp_3.179_m_3","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10",620,21,3.4,0,0,0,0,21,3.4,599,"No"
"lta_lta_m3_n_2500_tp_3.179_m_1","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60",800,99,12.4,59,7.4,0,0,147,18.4,653,"No"
"lta_lta_m3_n_2500_tp_3.179_m_2","Model 3",".800",3.179,"N = 2500",2500,2,".33, .33, .33",791,172,21.7,0,0,0,0,172,21.7,619,"No"
"lta_lta_m3_n_2500_tp_3.179_m_3","Model 3",".800",3.179,"N = 2500",2500,3,".60, .30, .10",762,119,15.6,1,0.1,0,0,120,15.7,642,"No"
"lta_lta_m1_n_5000_tp_0.407_m_1","Model 1",".200",0.407,"N = 5000",5000,1,".10, .30, .60",922,392,42.5,0,0,0,0,392,42.5,530,"No"
"lta_lta_m1_n_5000_tp_0.407_m_2","Model 1",".200",0.407,"N = 5000",5000,2,".33, .33, .33",1224,697,56.9,0,0,0,0,697,56.9,527,"No"
"lta_lta_m1_n_5000_tp_0.407_m_3","Model 1",".200",0.407,"N = 5000",5000,3,".60, .30, .10",1096,489,44.6,0,0,0,0,489,44.6,607,"No"
"lta_lta_m2_n_5000_tp_0.407_m_1","Model 2",".200",0.407,"N = 5000",5000,1,".10, .30, .60",632,6,0.9,0,0,1,0.2,7,1.1,625,"No"
"lta_lta_m2_n_5000_tp_0.407_m_2","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33",629,17,2.7,0,0,2,0.3,19,3,610,"No"
"lta_lta_m2_n_5000_tp_0.407_m_3","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10",620,20,3.2,0,0,1,0.2,21,3.4,599,"No"
"lta_lta_m3_n_5000_tp_0.407_m_1","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60",750,58,7.7,39,5.2,1,0.1,95,12.7,655,"No"
"lta_lta_m3_n_5000_tp_0.407_m_2","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33",849,146,17.2,14,1.6,0,0,157,18.5,692,"No"
"lta_lta_m3_n_5000_tp_0.407_m_3","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10",707,118,16.7,0,0,0,0,118,16.7,589,"No"
"lta_lta_m1_n_5000_tp_3.179_m_1","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60",1041,500,48,16,1.5,0,0,511,49.1,530,"No"
"lta_lta_m1_n_5000_tp_3.179_m_2","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33",1993,1279,64.2,1,0.1,0,0,1279,64.2,714,"No"
"lta_lta_m1_n_5000_tp_3.179_m_3","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10",1062,493,46.4,2,0.2,0,0,494,46.5,568,"No"
"lta_lta_m2_n_5000_tp_3.179_m_1","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60",626,5,0.8,0,0,0,0,5,0.8,621,"No"
"lta_lta_m2_n_5000_tp_3.179_m_2","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33",617,39,6.3,0,0,0,0,39,6.3,578,"No"
"lta_lta_m2_n_5000_tp_3.179_m_3","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10",617,16,2.6,0,0,0,0,16,2.6,601,"No"
"lta_lta_m3_n_5000_tp_3.179_m_1","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60",762,90,11.8,13,1.7,0,0,102,13.4,660,"No"
"lta_lta_m3_n_5000_tp_3.179_m_2","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33",862,211,24.5,0,0,1,0.1,212,24.6,650,"No"
"lta_lta_m3_n_5000_tp_3.179_m_3","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10",778,128,16.5,0,0,0,0,128,16.5,650,"No"
