"FileName","Model","Population","TPs","N","N_numeric","Mix","Mixing_proportion","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed"
"lta_rilta_m1_n_500_tp_0.407_m_1","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60",493,208,42.2,340,69,43,8.7,410,83.2,83,"Yes"
"lta_rilta_m1_n_500_tp_0.407_m_2","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33",500,264,52.8,321,64.2,30,6,416,83.2,84,"Yes"
"lta_rilta_m1_n_500_tp_0.407_m_3","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10",497,237,47.7,282,56.7,15,3,382,76.9,115,"Yes"
"lta_rilta_m2_n_500_tp_0.407_m_1","Model 2",".200",0.407,"N = 500",500,1,".10, .30, .60",497,33,6.6,337,67.8,62,12.5,369,74.2,128,"Yes"
"lta_rilta_m2_n_500_tp_0.407_m_2","Model 2",".200",0.407,"N = 500",500,2,".33, .33, .33",498,51,10.2,287,57.6,72,14.5,327,65.7,171,"Yes"
"lta_rilta_m2_n_500_tp_0.407_m_3","Model 2",".200",0.407,"N = 500",500,3,".60, .30, .10",497,23,4.6,260,52.3,76,15.3,282,56.7,215,"Yes"
"lta_rilta_m3_n_500_tp_0.407_m_1","Model 3",".200",0.407,"N = 500",500,1,".10, .30, .60",499,30,6,291,58.3,4,0.8,307,61.5,192,"Yes"
"lta_rilta_m3_n_500_tp_0.407_m_2","Model 3",".200",0.407,"N = 500",500,2,".33, .33, .33",500,22,4.4,229,45.8,1,0.2,241,48.2,259,"Yes"
"lta_rilta_m3_n_500_tp_0.407_m_3","Model 3",".200",0.407,"N = 500",500,3,".60, .30, .10",499,47,9.4,202,40.5,0,0,232,46.5,267,"Yes"
"lta_rilta_m1_n_500_tp_3.179_m_1","Model 1",".800",3.179,"N = 500",500,1,".10, .30, .60",500,212,42.4,355,71,25,5,424,84.8,76,"Yes"
"lta_rilta_m1_n_500_tp_3.179_m_2","Model 1",".800",3.179,"N = 500",500,2,".33, .33, .33",500,291,58.2,338,67.6,37,7.4,433,86.6,67,"Yes"
"lta_rilta_m1_n_500_tp_3.179_m_3","Model 1",".800",3.179,"N = 500",500,3,".60, .30, .10",493,237,48.1,319,64.7,42,8.5,398,80.7,95,"Yes"
