"FileName","Model","Population","TPs","N","N_numeric","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_0.3","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60","0.3",1867,820,43.9,569,30.5,15,0.8,1145,61.3,722,"No"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_0.5","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60","0.5",1828,858,46.9,510,27.9,9,0.5,1120,61.3,708,"No"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_0.7","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60","0.7",2138,1101,51.5,663,31,8,0.4,1400,65.5,738,"No"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_0.9","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60","0.9",2411,1310,54.3,836,34.7,14,0.6,1674,69.4,737,"No"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_a","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60","A",2420,1124,46.4,1060,43.8,30,1.2,1689,69.8,731,"No"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_b","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60","B",2418,1051,43.5,792,32.8,21,0.9,1495,61.8,923,"No"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_c","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60","C",2419,1121,46.3,911,37.7,25,1,1586,65.6,833,"No"
"rilta_lta_m1_n_500_tp_0.407_m_1_l_d","Model 1",".200",0.407,"N = 500",500,1,".10, .30, .60","D",2113,972,46,0,0,0,0,972,46,1141,"No"
"rilta_lta_m1_n_500_tp_0.407_m_2_l_0.3","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33","0.3",1500,717,47.8,278,18.5,9,0.6,863,57.5,637,"No"
"rilta_lta_m1_n_500_tp_0.407_m_2_l_0.5","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33","0.5",1628,792,48.6,286,17.6,11,0.7,940,57.7,688,"No"
"rilta_lta_m1_n_500_tp_0.407_m_2_l_0.7","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33","0.7",1867,945,50.6,365,19.6,7,0.4,1119,59.9,748,"No"
"rilta_lta_m1_n_500_tp_0.407_m_2_l_0.9","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33","0.9",1666,871,52.3,348,20.9,4,0.2,1012,60.7,654,"No"
"rilta_lta_m1_n_500_tp_0.407_m_2_l_a","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33","A",1670,817,48.9,601,36,19,1.1,1116,66.8,554,"No"
"rilta_lta_m1_n_500_tp_0.407_m_2_l_b","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33","B",1672,827,49.5,357,21.4,13,0.8,996,59.6,676,"No"
"rilta_lta_m1_n_500_tp_0.407_m_2_l_c","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33","C",1672,833,49.8,449,26.9,14,0.8,1042,62.3,630,"No"
"rilta_lta_m1_n_500_tp_0.407_m_2_l_d","Model 1",".200",0.407,"N = 500",500,2,".33, .33, .33","D",1672,861,51.5,446,26.7,14,0.8,1069,63.9,603,"No"
"rilta_lta_m1_n_500_tp_0.407_m_3_l_0.3","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10","0.3",1675,735,43.9,474,28.3,14,0.8,990,59.1,685,"No"
"rilta_lta_m1_n_500_tp_0.407_m_3_l_0.5","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10","0.5",1733,787,45.4,475,27.4,6,0.3,1040,60,693,"No"
"rilta_lta_m1_n_500_tp_0.407_m_3_l_0.7","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10","0.7",1913,877,45.8,567,29.6,10,0.5,1174,61.4,739,"No"
"rilta_lta_m1_n_500_tp_0.407_m_3_l_0.9","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10","0.9",1875,923,49.2,532,28.4,7,0.4,1168,62.3,707,"No"
"rilta_lta_m1_n_500_tp_0.407_m_3_l_a","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10","A",1905,1013,53.2,908,47.7,17,0.9,1399,73.4,506,"No"
"rilta_lta_m1_n_500_tp_0.407_m_3_l_b","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10","B",1897,822,43.3,627,33.1,8,0.4,1165,61.4,732,"No"
"rilta_lta_m1_n_500_tp_0.407_m_3_l_c","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10","C",1896,809,42.7,644,34,12,0.6,1166,61.5,730,"No"
"rilta_lta_m1_n_500_tp_0.407_m_3_l_d","Model 1",".200",0.407,"N = 500",500,3,".60, .30, .10","D",1900,772,40.6,643,33.8,13,0.7,1149,60.5,751,"No"
"rilta_lta_m2_n_500_tp_0.407_m_1_l_0.3","Model 2",".200",0.407,"N = 500",500,1,".10, .30, .60","0.3",671,22,3.3,27,4,1,0.1,50,7.5,621,"No"
