"N_numeric","Population","Model","TPs","Mix","Mixing_proportion","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500",".200","Model 1",0.407,1,".10, .30, .60",500,36.4,1,31.8,55.2,40.3,0.1,30.1,57.9,1531,644,"✅ Fixed"
"500",".200","Model 2",0.407,1,".10, .30, .60",500,3.2,0,2.2,5.4,2.4,0,0.6,3.1,654,634,"✅ Fixed"
"500",".200","Model 3",0.407,1,".10, .30, .60",500,11.8,0.2,18.6,28.4,18,0.1,12.3,28.3,881,632,"✅ Fixed"
"500",".200","Model 1",0.407,2,".33, .33, .33",500,45.4,0.2,29,60.6,51.3,0,23.5,62.3,1814,684,"✅ Fixed"
"500",".200","Model 2",0.407,2,".33, .33, .33",500,3.2,0,0.6,3.8,6.4,0,0.3,6.5,642,600,"✅ Fixed"
"500",".200","Model 3",0.407,2,".33, .33, .33",500,18.4,0,8.2,25.2,19.5,0,3.3,21.8,839,656,"✅ Fixed"
"500",".200","Model 1",0.407,3,".60, .30, .10",498,34.1,1,38.4,57.8,44.9,0.4,29.6,60.5,1641,648,"✅ Fixed"
"500",".200","Model 2",0.407,3,".60, .30, .10",500,2,0,1.4,3.4,4.2,0,0.2,4.4,640,612,"✅ Fixed"
"500",".200","Model 3",0.407,3,".60, .30, .10",499,9.2,0,3.8,13,16.2,0,2.4,17.8,712,585,"✅ Fixed"
"500",".800","Model 1",3.179,1,".10, .30, .60",500,28,0.8,39.6,57,41.2,0.4,35.4,61.8,1617,617,"✅ Fixed"
"500",".800","Model 2",3.179,1,".10, .30, .60",500,6.2,0,9.6,14.6,3.6,0,8,11.1,728,647,"✅ Fixed"
"500",".800","Model 3",3.179,1,".10, .30, .60",500,13,0.2,37.6,45.8,19.4,0.1,31.7,43.8,1213,682,"✅ Fixed"
"500",".800","Model 1",3.179,2,".33, .33, .33",500,45.2,1.4,40.6,67.8,53.7,0.2,30.7,66.2,2407,814,"✅ Fixed"
