"N_numeric","Population","Model","TPs","Mix","Mixing_proportion","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500",".200","Model 1",0.407,1,".10, .30, .60",493,42.2,8.7,69,83.2,42.2,8.7,69,83.2,493,83,"⚠️ Additional Runs Required"
"500",".200","Model 2",0.407,1,".10, .30, .60",497,6.6,12.5,67.8,74.2,6.6,12.5,67.8,74.2,497,128,"⚠️ Additional Runs Required"
"500",".200","Model 3",0.407,1,".10, .30, .60",499,6,0.8,58.3,61.5,6,0.8,58.3,61.5,499,192,"⚠️ Additional Runs Required"
"500",".200","Model 1",0.407,2,".33, .33, .33",500,52.8,6,64.2,83.2,52.8,6,64.2,83.2,500,84,"⚠️ Additional Runs Required"
"500",".200","Model 2",0.407,2,".33, .33, .33",498,10.2,14.5,57.6,65.7,10.2,14.5,57.6,65.7,498,171,"⚠️ Additional Runs Required"
"500",".200","Model 3",0.407,2,".33, .33, .33",500,4.4,0.2,45.8,48.2,4.4,0.2,45.8,48.2,500,259,"⚠️ Additional Runs Required"
"500",".200","Model 1",0.407,3,".60, .30, .10",497,47.7,3,56.7,76.9,47.7,3,56.7,76.9,497,115,"⚠️ Additional Runs Required"
"500",".200","Model 2",0.407,3,".60, .30, .10",497,4.6,15.3,52.3,56.7,4.6,15.3,52.3,56.7,497,215,"⚠️ Additional Runs Required"
"500",".200","Model 3",0.407,3,".60, .30, .10",499,9.4,0,40.5,46.5,9.4,0,40.5,46.5,499,267,"⚠️ Additional Runs Required"
"500",".800","Model 1",3.179,1,".10, .30, .60",500,42.4,5,71,84.8,42.4,5,71,84.8,500,76,"⚠️ Additional Runs Required"
"500",".800","Model 2",3.179,1,".10, .30, .60",500,5.4,10.6,68,72.4,5.4,10.6,68,72.4,500,138,"⚠️ Additional Runs Required"
"500",".800","Model 3",3.179,1,".10, .30, .60",500,4,1,55.8,58,4,1,55.8,58,500,210,"⚠️ Additional Runs Required"
"500",".800","Model 1",3.179,2,".33, .33, .33",500,58.2,7.4,67.6,86.6,58.2,7.4,67.6,86.6,500,67,"⚠️ Additional Runs Required"
"500",".800","Model 2",3.179,2,".33, .33, .33",500,8.8,10.8,58.2,64.2,8.8,10.8,58.2,64.2,500,179,"⚠️ Additional Runs Required"
"500",".800","Model 3",3.179,2,".33, .33, .33",500,6.4,0.8,47.8,52.8,6.4,0.8,47.8,52.8,500,236,"⚠️ Additional Runs Required"
"500",".800","Model 1",3.179,3,".60, .30, .10",493,48.1,8.5,64.7,80.7,48.1,8.5,64.7,80.7,493,95,"⚠️ Additional Runs Required"
"500",".800","Model 2",3.179,3,".60, .30, .10",497,2.6,10.7,46.3,49.7,2.6,10.7,46.3,49.7,497,250,"⚠️ Additional Runs Required"
