"N_numeric","N","Population","Model","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500","N = 500",".200","Model 1",0.407,1,".10, .30, .60","0.3",500,42.4,1,33.2,61.4,43.9,0.8,30.5,61.3,1867,722,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,1,".10, .30, .60","0.3",500,2.8,0.2,4.8,7.8,3.3,0.1,4,7.5,671,621,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,1,".10, .30, .60","0.3",500,19.4,0.4,11,27.8,16.5,0.5,8.9,24.1,872,662,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,1,".10, .30, .60","0.5",500,47,0.6,25.6,60.8,46.9,0.5,27.9,61.3,1828,708,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,1,".10, .30, .60","0.5",499,5.2,0.4,3.6,9.2,4.1,0.3,3.7,8.1,680,625,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,1,".10, .30, .60","0.5",500,21.2,0.4,7.2,24.4,19.2,0.5,6.8,23.3,829,636,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,1,".10, .30, .60","0.7",500,50.6,0.2,30.2,65,51.5,0.4,31,65.5,2138,738,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,1,".10, .30, .60","0.7",496,6.2,0.6,2.8,9.7,6.5,0.4,2.8,9.7,677,611,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,1,".10, .30, .60","0.7",498,24.3,0,5.4,28.3,23.8,0.1,5.3,27.6,874,633,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,1,".10, .30, .60","0.9",499,52.7,1,34.5,67.9,54.3,0.6,34.7,69.4,2411,737,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,1,".10, .30, .60","0.9",500,8.8,0.6,3.6,12.8,8.2,0.4,3.8,12.2,711,624,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,1,".10, .30, .60","0.9",500,37.4,0.4,3,39.2,36.3,0.2,3.9,38.6,1060,651,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,1,".10, .30, .60","A",500,44.6,1.2,42.8,68.8,46.4,1.2,43.8,69.8,2420,731,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,1,".10, .30, .60","A",498,4.2,0.2,4,8.2,5.1,0.6,3.8,9.2,710,645,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,1,".10, .30, .60","A",500,27,0.6,12.4,32.4,28.2,0.5,11,33.5,1060,705,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,1,".10, .30, .60","B",500,42,0.8,31.8,59.8,43.5,0.9,32.8,61.8,2418,923,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,1,".10, .30, .60","B",500,5.4,0.4,5,10.8,4.9,0.6,5.2,10.4,712,638,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,1,".10, .30, .60","B",499,18.8,0,11.2,27.9,17.6,0.3,9.8,25.5,1059,789,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,1,".10, .30, .60","C",500,48.2,1,41,69.2,46.3,1,37.7,65.6,2419,833,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,1,".10, .30, .60","C",500,5.4,0.6,3.6,9.4,5.1,0.4,3.4,8.7,711,649,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,1,".10, .30, .60","C",500,17.2,0.4,12.8,26.2,18.4,0.4,10.8,26.7,1060,777,"✅ Fixed"
