"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60",500,182,36.4,159,31.8,5,1,276,55.2,1535
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33",500,227,45.4,145,29,1,0.2,303,60.6,1816
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10",498,170,34.1,191,38.4,5,1,288,57.8,1652
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60",500,16,3.2,11,2.2,0,0,27,5.4,654
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33",500,16,3.2,3,0.6,0,0,19,3.8,642
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10",500,10,2,7,1.4,0,0,17,3.4,640
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60",500,59,11.8,93,18.6,1,0.2,142,28.4,881
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33",500,92,18.4,41,8.2,0,0,126,25.2,839
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10",499,46,9.2,19,3.8,0,0,65,13,712
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60",500,140,28,198,39.6,4,0.8,285,57,1618
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33",500,226,45.2,203,40.6,7,1.4,339,67.8,2414
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10",494,190,38.5,244,49.4,12,2.4,345,69.8,2628
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60",500,31,6.2,48,9.6,0,0,73,14.6,728
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33",500,19,3.8,6,1.2,0,0,25,5,651
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10",499,18,3.6,20,4,0,0,38,7.6,669
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60",500,65,13,188,37.6,1,0.2,229,45.8,1213
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33",500,147,29.4,39,7.8,0,0,171,34.2,968
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10",500,74,14.8,24,4.8,1,0.2,93,18.6,766
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60",500,172,34.4,57,11.4,1,0.2,209,41.8,1115
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33",500,202,40.4,62,12.4,2,0.4,235,47,1246
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10",499,155,31.1,89,17.8,3,0.6,213,42.7,1133
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60",500,11,2.2,4,0.8,0,0,15,3,637
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33",500,8,1.6,1,0.2,0,0,9,1.8,629
