"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","0.3",500,221,44.2,175,35,2,0.4,317,63.4,2009
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","0.5",500,239,47.8,130,26,4,0.8,307,61.4,1867
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","0.7",500,247,49.4,147,29.4,2,0.4,319,63.8,2040
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","0.9",498,260,52.2,166,33.3,4,0.8,342,68.7,2509
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","A",500,242,48.4,176,35.2,6,1.2,346,69.2,2581
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","B",500,266,53.2,280,56,2,0.4,394,78.8,4957
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","C",500,275,55,319,63.8,6,1.2,416,83.2,8676
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","D",500,283,56.6,306,61.2,4,0.8,418,83.6,9315
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","0.3",500,248,49.6,85,17,6,1.2,287,57.4,1638
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","0.5",500,243,48.6,96,19.2,0,0,290,58,1668
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","0.7",499,265,53.1,84,16.8,2,0.4,301,60.3,1794
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","0.9",498,238,47.8,102,20.5,1,0.2,284,57,1612
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","A",500,248,49.6,123,24.6,6,1.2,314,62.8,1964
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","B",499,294,58.9,249,49.9,4,0.8,399,80,5600
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","C",500,315,63,282,56.4,4,0.8,420,84,10055
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","D",500,337,67.4,298,59.6,6,1.2,439,87.8,41722
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","0.3",500,227,45.4,133,26.6,4,0.8,293,58.6,1700
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","0.5",497,224,45.1,139,28,4,0.8,300,60.4,1793
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","0.7",496,242,48.8,142,28.6,5,1,319,64.3,2064
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","0.9",487,228,46.8,135,27.7,2,0.4,299,61.4,1820
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","A",497,228,45.9,147,29.6,3,0.6,308,62,1896
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","B",497,268,53.9,288,57.9,5,1,396,79.7,5400
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","C",497,263,52.9,327,65.8,1,0.2,413,83.1,8479
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","D",498,276,55.4,337,67.7,0,0,416,83.5,9110
